,Date,o,h,l,c,v
0,2022-07-11 09:15:00,3549.85,3555.75,3453.2,3468.8,86588
1,2022-07-11 09:30:00,3468.8,3476.4,3446.55,3469.2,128044
2,2022-07-11 09:45:00,3469.05,3495.25,3452.0,3476.1,162574
3,2022-07-11 10:00:00,3478.95,3479.5,3464.0,3464.0,172800
4,2022-07-11 10:15:00,3464.8,3476.15,3459.0,3472.1,181940
5,2022-07-11 10:30:00,3472.1,3483.25,3470.0,3481.75,192990
6,2022-07-11 10:45:00,3481.75,3488.0,3472.7,3480.7,202165
7,2022-07-11 11:00:00,3480.7,3498.0,3474.0,3492.5,218217
8,2022-07-11 11:15:00,3491.85,3492.5,3481.8,3483.1,222936
9,2022-07-11 11:30:00,3483.25,3494.0,3483.25,3487.0,225701
10,2022-07-11 11:45:00,3487.0,3497.5,3483.05,3497.5,234004
11,2022-07-11 12:00:00,3497.5,3501.5,3493.1,3497.0,242804
12,2022-07-11 12:15:00,3496.0,3496.0,3485.45,3487.8,246864
13,2022-07-11 12:30:00,3487.8,3495.0,3482.05,3488.0,251263
14,2022-07-11 12:45:00,3488.0,3497.0,3488.0,3493.6,264803
15,2022-07-11 13:00:00,3493.5,3504.45,3490.0,3501.85,271177
16,2022-07-11 13:15:00,3501.85,3502.05,3492.65,3499.65,277768
17,2022-07-11 13:30:00,3499.65,3505.0,3496.25,3502.9,283943
18,2022-07-11 13:45:00,3502.05,3504.7,3489.0,3490.05,290583
19,2022-07-11 14:00:00,3490.05,3502.0,3487.3,3490.85,298839
20,2022-07-11 14:15:00,3489.95,3500.0,3489.9,3497.95,304325
21,2022-07-11 14:30:00,3497.95,3508.0,3496.0,3504.05,312909
22,2022-07-11 14:45:00,3505.0,3513.85,3497.7,3498.95,323761
23,2022-07-11 15:00:00,3500.05,3512.0,3498.0,3505.0,337094
24,2022-07-11 15:15:00,3505.0,3505.5,3495.0,3498.0,358711
25,2022-07-11 15:30:00,3502.85,3502.85,3502.85,3502.85,358792
26,2022-07-12 09:15:00,3475.0,3531.8,3454.15,3530.8,19416
27,2022-07-12 09:30:00,3530.8,3550.0,3522.95,3546.0,41240
28,2022-07-12 09:45:00,3546.0,3554.0,3533.05,3552.4,53344
29,2022-07-12 10:00:00,3552.0,3552.0,3525.15,3528.4,60796
30,2022-07-12 10:15:00,3527.95,3531.35,3515.0,3525.75,69779
31,2022-07-12 10:30:00,3525.75,3539.9,3520.0,3533.1,75364
32,2022-07-12 10:45:00,3533.1,3533.1,3525.0,3531.2,78130
