,Date,o,h,l,c,v
0,2022-07-11 09:15:00,364.0,367.5,362.35,367.25,46619
1,2022-07-11 09:30:00,367.1,368.7,366.2,368.5,64870
2,2022-07-11 09:45:00,368.5,369.0,368.05,368.05,81669
3,2022-07-11 10:00:00,368.25,369.35,368.0,369.35,86955
4,2022-07-11 10:15:00,369.2,370.85,368.95,370.75,402114
5,2022-07-11 10:30:00,370.75,371.5,369.55,369.75,425567
6,2022-07-11 10:45:00,369.9,370.95,369.7,370.3,431929
7,2022-07-11 11:00:00,370.6,370.7,369.2,369.3,438196
8,2022-07-11 11:15:00,369.3,369.55,368.4,368.8,442948
9,2022-07-11 11:30:00,368.9,369.0,368.0,368.1,465843
10,2022-07-11 11:45:00,368.0,368.1,367.6,367.85,469836
11,2022-07-11 12:00:00,368.0,368.5,366.8,367.55,482390
12,2022-07-11 12:15:00,367.25,367.5,366.25,366.25,486580
13,2022-07-11 12:30:00,366.25,368.1,366.1,366.95,498413
14,2022-07-11 12:45:00,367.1,368.55,366.95,368.2,504405
15,2022-07-11 13:00:00,368.2,368.65,368.05,368.4,506763
16,2022-07-11 13:15:00,368.35,368.6,368.05,368.3,511792
17,2022-07-11 13:30:00,368.45,369.45,368.25,369.0,517485
18,2022-07-11 13:45:00,369.0,369.25,367.5,367.7,521045
19,2022-07-11 14:00:00,367.5,368.7,367.5,368.35,523762
20,2022-07-11 14:15:00,368.35,368.75,367.1,367.15,535617
21,2022-07-11 14:30:00,367.15,368.75,367.15,368.2,556803
22,2022-07-11 14:45:00,368.2,368.25,367.2,367.6,579839
23,2022-07-11 15:00:00,367.4,369.0,367.3,368.8,619828
24,2022-07-11 15:15:00,368.9,369.95,367.45,367.9,660977
25,2022-07-11 15:30:00,368.7,368.7,368.7,368.7,661027
26,2022-07-12 09:15:00,367.95,367.95,365.3,367.1,10529
27,2022-07-12 09:30:00,367.55,371.15,367.1,370.15,39063
28,2022-07-12 09:45:00,370.15,371.45,369.5,370.0,62709
29,2022-07-12 10:00:00,370.0,370.9,369.5,369.75,82898
30,2022-07-12 10:15:00,370.0,370.15,369.05,369.8,91461
31,2022-07-12 10:30:00,369.8,370.1,369.5,369.6,97302
32,2022-07-12 10:45:00,369.6,370.45,369.55,370.0,104896
