,Date,o,h,l,c,v
0,2022-07-11 09:15:00,143.9,146.55,143.9,145.8,100453
1,2022-07-11 09:30:00,145.75,145.75,145.0,145.75,144363
2,2022-07-11 09:45:00,145.75,146.0,145.65,145.75,161860
3,2022-07-11 10:00:00,145.85,146.4,145.75,146.25,194686
4,2022-07-11 10:15:00,146.25,146.25,145.8,145.85,232968
5,2022-07-11 10:30:00,145.85,146.0,145.6,145.75,280559
6,2022-07-11 10:45:00,145.75,145.75,144.65,144.65,324369
7,2022-07-11 11:00:00,144.65,144.8,143.95,144.1,429631
8,2022-07-11 11:15:00,144.1,145.0,144.0,144.8,675343
9,2022-07-11 11:30:00,144.85,145.15,144.4,144.4,716675
10,2022-07-11 11:45:00,144.55,144.8,144.3,144.7,742432
11,2022-07-11 12:00:00,144.7,145.4,144.7,145.25,1009154
12,2022-07-11 12:15:00,145.25,145.9,145.0,145.9,1064153
13,2022-07-11 12:30:00,145.75,146.3,145.65,146.0,1152747
14,2022-07-11 12:45:00,146.0,147.45,145.9,147.0,1416619
15,2022-07-11 13:00:00,147.0,147.25,146.9,147.0,1523449
16,2022-07-11 13:15:00,147.0,147.2,147.0,147.0,1559852
17,2022-07-11 13:30:00,147.0,147.1,147.0,147.1,1594210
18,2022-07-11 13:45:00,147.1,147.2,147.0,147.0,1625578
19,2022-07-11 14:00:00,147.0,147.7,147.0,147.5,1733911
20,2022-07-11 14:15:00,147.5,148.1,147.5,148.05,1873739
21,2022-07-11 14:30:00,148.15,148.6,148.0,148.5,2199455
22,2022-07-11 14:45:00,148.5,148.8,148.3,148.65,2511317
23,2022-07-11 15:00:00,148.6,149.1,148.5,149.0,2788553
24,2022-07-11 15:15:00,149.0,150.0,148.9,148.9,3625922
25,2022-07-11 15:30:00,149.1,149.1,149.1,149.1,3627576
26,2022-07-12 09:15:00,148.1,150.55,147.8,148.8,378094
27,2022-07-12 09:30:00,148.95,149.75,148.8,149.65,804757
28,2022-07-12 09:45:00,149.65,150.4,149.5,149.8,944487
29,2022-07-12 10:00:00,149.8,149.9,149.5,149.8,1067616
30,2022-07-12 10:15:00,149.75,150.9,149.5,150.5,1261096
31,2022-07-12 10:30:00,150.5,150.7,150.45,150.5,1483519
32,2022-07-12 10:45:00,150.5,150.7,150.45,150.7,1656997
