,Date,o,h,l,c,v
0,2022-07-11 09:15:00,1121.85,1133.0,1115.0,1115.0,48353
1,2022-07-11 09:30:00,1115.0,1128.6,1114.55,1126.95,76642
2,2022-07-11 09:45:00,1126.05,1129.75,1118.7,1119.45,101773
3,2022-07-11 10:00:00,1119.45,1119.45,1112.0,1112.5,130192
4,2022-07-11 10:15:00,1112.5,1116.25,1110.05,1111.4,152694
5,2022-07-11 10:30:00,1111.4,1111.95,1104.0,1104.25,180229
6,2022-07-11 10:45:00,1104.25,1109.8,1103.0,1106.3,200526
7,2022-07-11 11:00:00,1106.3,1118.8,1105.9,1117.8,211175
8,2022-07-11 11:15:00,1117.25,1119.35,1110.95,1111.75,223840
9,2022-07-11 11:30:00,1111.75,1119.5,1110.45,1114.6,228725
10,2022-07-11 11:45:00,1114.6,1117.85,1113.6,1117.15,234863
11,2022-07-11 12:00:00,1117.5,1120.2,1115.55,1117.85,240786
12,2022-07-11 12:15:00,1117.15,1117.8,1113.15,1113.15,247152
13,2022-07-11 12:30:00,1113.15,1119.35,1112.0,1115.2,253017
14,2022-07-11 12:45:00,1115.2,1118.95,1114.1,1117.95,262496
15,2022-07-11 13:00:00,1118.15,1122.5,1116.05,1122.4,271866
16,2022-07-11 13:15:00,1122.4,1125.85,1119.25,1121.95,286561
17,2022-07-11 13:30:00,1121.95,1124.75,1119.55,1119.55,293630
18,2022-07-11 13:45:00,1119.55,1122.7,1118.3,1118.9,303780
19,2022-07-11 14:00:00,1118.9,1122.45,1114.05,1115.7,317960
20,2022-07-11 14:15:00,1115.7,1116.95,1113.05,1114.45,330947
21,2022-07-11 14:30:00,1114.45,1119.6,1113.05,1117.6,346769
22,2022-07-11 14:45:00,1117.6,1118.95,1113.75,1114.0,366284
23,2022-07-11 15:00:00,1113.85,1115.45,1111.55,1111.55,385157
24,2022-07-11 15:15:00,1111.55,1114.05,1108.1,1110.9,421450
25,2022-07-11 15:30:00,1111.25,1111.25,1111.25,1111.25,421450
26,2022-07-12 09:15:00,1101.75,1116.65,1101.75,1103.5,28351
27,2022-07-12 09:30:00,1103.5,1113.3,1103.5,1108.4,47849
28,2022-07-12 09:45:00,1108.4,1115.5,1108.25,1110.5,59096
29,2022-07-12 10:00:00,1110.5,1110.7,1107.05,1108.0,65749
30,2022-07-12 10:15:00,1108.0,1108.0,1105.45,1107.3,69779
31,2022-07-12 10:30:00,1107.3,1107.65,1104.05,1104.65,73876
32,2022-07-12 10:45:00,1104.65,1105.2,1104.1,1105.0,78199
