,Date,o,h,l,c,v
0,2022-07-25 09:15:00,571.35,575.25,571.0,571.15,140309
1,2022-07-25 09:30:00,571.45,571.8,569.65,570.1,198606
2,2022-07-25 09:45:00,570.05,570.5,568.7,570.05,244982
3,2022-07-25 10:00:00,570.15,570.45,569.15,569.95,287421
4,2022-07-25 10:15:00,570.25,571.0,569.7,570.1,319448
5,2022-07-25 10:30:00,570.1,570.8,569.55,569.55,339103
6,2022-07-25 10:45:00,569.55,570.45,569.05,570.15,363114
7,2022-07-25 11:00:00,570.15,570.4,569.5,570.05,387976
8,2022-07-25 11:15:00,570.05,570.55,569.65,570.5,411959
9,2022-07-25 11:30:00,570.5,570.6,569.9,570.15,450314
10,2022-07-25 11:45:00,570.15,570.5,569.5,570.3,489362
11,2022-07-25 12:00:00,570.3,570.9,570.25,570.75,518128
12,2022-07-25 12:15:00,570.75,571.55,570.0,570.45,555225
13,2022-07-25 12:30:00,570.45,570.65,567.75,568.75,636025
14,2022-07-25 12:45:00,568.75,569.85,568.75,569.15,685806
15,2022-07-25 13:00:00,569.4,570.0,568.9,569.7,715660
16,2022-07-25 13:15:00,569.9,570.3,569.2,569.3,748053
17,2022-07-25 13:30:00,569.3,569.65,566.4,566.5,786259
18,2022-07-25 13:45:00,566.5,566.75,565.0,565.0,840820
19,2022-07-25 14:00:00,565.1,566.25,564.75,564.9,899396
20,2022-07-25 14:15:00,564.9,565.95,564.15,565.95,974636
21,2022-07-25 14:30:00,565.95,566.9,565.85,566.6,1047391
22,2022-07-25 14:45:00,566.6,567.5,566.0,566.15,1090231
23,2022-07-25 15:00:00,566.55,569.05,566.45,567.65,1197095
24,2022-07-25 15:15:00,567.8,568.8,565.5,567.85,1364493
25,2022-07-25 15:30:00,567.9,567.9,567.9,567.9,1440864
