,Date,o,h,l,c,v
0,2022-07-25 09:15:00,1583.0,1593.9,1580.0,1581.9,7851
1,2022-07-25 09:30:00,1581.9,1587.95,1576.95,1584.55,15901
2,2022-07-25 09:45:00,1584.55,1584.55,1570.0,1572.0,22553
3,2022-07-25 10:00:00,1572.0,1576.4,1562.9,1568.0,29447
4,2022-07-25 10:15:00,1568.0,1574.8,1565.4,1574.05,36870
5,2022-07-25 10:30:00,1574.05,1579.25,1570.0,1576.0,42578
6,2022-07-25 10:45:00,1576.0,1576.0,1571.4,1573.8,47164
7,2022-07-25 11:00:00,1573.8,1574.75,1550.15,1553.35,53984
8,2022-07-25 11:15:00,1553.35,1558.0,1548.75,1549.85,62877
9,2022-07-25 11:30:00,1549.85,1554.0,1549.15,1552.35,67226
10,2022-07-25 11:45:00,1552.35,1555.0,1552.0,1554.8,70582
11,2022-07-25 12:00:00,1554.8,1554.8,1550.0,1550.15,73596
12,2022-07-25 12:15:00,1550.85,1554.0,1550.55,1551.75,74906
13,2022-07-25 12:30:00,1551.75,1553.45,1549.3,1549.5,75687
14,2022-07-25 12:45:00,1549.35,1554.0,1549.0,1550.0,77772
15,2022-07-25 13:00:00,1550.0,1551.2,1542.0,1549.6,81200
16,2022-07-25 13:15:00,1549.6,1551.8,1547.0,1547.35,85601
17,2022-07-25 13:30:00,1547.35,1550.0,1546.0,1549.2,97220
18,2022-07-25 13:45:00,1549.2,1550.0,1540.85,1546.5,104123
19,2022-07-25 14:00:00,1546.5,1550.0,1541.05,1550.0,113236
20,2022-07-25 14:15:00,1550.0,1554.0,1548.9,1552.15,123944
21,2022-07-25 14:30:00,1552.15,1554.75,1548.05,1554.25,128185
22,2022-07-25 14:45:00,1554.25,1554.25,1550.0,1552.6,133529
23,2022-07-25 15:00:00,1552.6,1552.65,1544.5,1546.8,136929
24,2022-07-25 15:15:00,1546.5,1557.25,1545.0,1549.0,145926
25,2022-07-25 15:30:00,1549.75,1549.75,1549.75,1549.75,150560
