,Date,o,h,l,c,v
0,2022-07-25 09:15:00,1817.9,1827.1,1804.3,1810.0,97219
1,2022-07-25 09:30:00,1810.5,1817.6,1792.0,1810.0,212044
2,2022-07-25 09:45:00,1809.0,1818.0,1804.05,1817.95,265839
3,2022-07-25 10:00:00,1818.3,1834.45,1813.95,1832.7,320991
4,2022-07-25 10:15:00,1832.25,1853.0,1830.45,1851.8,456341
5,2022-07-25 10:30:00,1851.55,1859.3,1843.35,1854.9,577501
6,2022-07-25 10:45:00,1854.9,1854.9,1841.9,1843.1,642031
7,2022-07-25 11:00:00,1842.95,1848.55,1834.0,1844.95,697606
8,2022-07-25 11:15:00,1844.45,1850.0,1838.05,1844.25,747650
9,2022-07-25 11:30:00,1844.25,1846.9,1840.9,1843.5,771823
10,2022-07-25 11:45:00,1843.2,1853.9,1842.0,1850.25,789308
11,2022-07-25 12:00:00,1850.25,1857.0,1848.25,1855.0,843836
12,2022-07-25 12:15:00,1855.0,1864.0,1854.25,1857.1,921554
13,2022-07-25 12:30:00,1857.0,1863.7,1855.9,1860.0,967981
14,2022-07-25 12:45:00,1860.5,1861.75,1846.05,1855.25,1005142
15,2022-07-25 13:00:00,1854.2,1855.0,1846.7,1850.0,1034219
16,2022-07-25 13:15:00,1850.0,1854.0,1848.15,1851.8,1051767
17,2022-07-25 13:30:00,1851.8,1856.0,1848.0,1853.85,1067240
18,2022-07-25 13:45:00,1853.85,1856.55,1850.1,1853.35,1089216
19,2022-07-25 14:00:00,1853.35,1864.0,1852.0,1862.15,1112050
20,2022-07-25 14:15:00,1862.1,1864.0,1856.3,1858.75,1167564
21,2022-07-25 14:30:00,1858.75,1862.0,1852.35,1854.45,1200327
22,2022-07-25 14:45:00,1854.35,1861.0,1852.0,1860.15,1236430
23,2022-07-25 15:00:00,1860.15,1860.55,1848.65,1853.0,1290540
24,2022-07-25 15:15:00,1853.0,1854.0,1841.5,1844.95,1352200
25,2022-07-25 15:30:00,1844.95,1849.85,1844.95,1849.85,1382168
