,Date,o,h,l,c,v
0,2022-07-11 09:15:00,178.45,183.45,177.75,181.8,1299244
1,2022-07-11 09:30:00,181.75,182.4,180.65,181.6,1872917
2,2022-07-11 09:45:00,181.55,181.8,179.85,179.95,2211156
3,2022-07-11 10:00:00,180.1,180.35,178.75,180.05,2699395
4,2022-07-11 10:15:00,180.05,180.8,179.55,180.7,2845879
5,2022-07-11 10:30:00,180.75,181.5,180.1,180.9,3047293
6,2022-07-11 10:45:00,180.9,181.0,180.15,180.25,3174493
7,2022-07-11 11:00:00,180.4,180.4,179.4,179.5,3366159
8,2022-07-11 11:15:00,179.5,179.5,178.9,179.1,3514761
9,2022-07-11 11:30:00,179.2,179.5,178.6,178.9,3711597
10,2022-07-11 11:45:00,178.9,179.95,178.7,179.95,3975224
11,2022-07-11 12:00:00,179.95,180.6,179.75,180.0,4104089
12,2022-07-11 12:15:00,180.0,180.1,179.4,179.7,4213050
13,2022-07-11 12:30:00,179.7,179.7,178.85,179.35,4354861
14,2022-07-11 12:45:00,179.35,179.5,178.8,179.15,4479334
15,2022-07-11 13:00:00,179.15,179.6,178.75,179.35,4544189
16,2022-07-11 13:15:00,179.4,179.8,179.1,179.35,4608370
17,2022-07-11 13:30:00,179.35,179.9,179.35,179.8,4690495
18,2022-07-11 13:45:00,179.85,180.0,179.3,179.4,4814749
19,2022-07-11 14:00:00,179.5,179.75,179.1,179.25,4898661
20,2022-07-11 14:15:00,179.3,179.8,179.3,179.65,4973946
21,2022-07-11 14:30:00,179.55,181.8,179.55,181.75,5480686
22,2022-07-11 14:45:00,181.8,182.5,180.85,181.05,6248579
23,2022-07-11 15:00:00,181.1,181.55,180.6,180.7,6614840
24,2022-07-11 15:15:00,180.7,181.9,180.5,181.4,7270621
25,2022-07-11 15:30:00,180.95,180.95,180.95,180.95,7271483
26,2022-07-12 09:15:00,180.5,180.55,177.0,179.3,714997
27,2022-07-12 09:30:00,179.25,179.6,178.55,178.9,1322093
28,2022-07-12 09:45:00,178.9,179.05,178.25,179.0,1550476
29,2022-07-12 10:00:00,179.05,179.25,177.2,177.65,1855376
30,2022-07-12 10:15:00,177.65,178.75,176.0,178.65,2444991
31,2022-07-12 10:30:00,178.65,179.8,178.55,179.4,3071844
32,2022-07-12 10:45:00,179.4,179.95,179.2,179.2,3323367
