,Date,o,h,l,c,v
0,2022-07-11 09:15:00,166.65,169.4,165.7,166.55,158158
1,2022-07-11 09:30:00,166.7,168.7,166.35,168.5,250924
2,2022-07-11 09:45:00,168.5,170.85,168.35,170.1,477417
3,2022-07-11 10:00:00,170.3,170.5,169.25,169.65,594830
4,2022-07-11 10:15:00,169.65,169.7,168.75,169.2,670992
5,2022-07-11 10:30:00,169.2,169.7,169.1,169.3,696006
6,2022-07-11 10:45:00,169.25,169.65,169.05,169.35,717778
7,2022-07-11 11:00:00,169.35,169.5,168.9,169.1,743960
8,2022-07-11 11:15:00,169.1,169.1,168.3,168.3,765598
9,2022-07-11 11:30:00,168.4,168.9,168.1,168.85,789156
10,2022-07-11 11:45:00,168.85,169.4,168.6,168.75,811009
11,2022-07-11 12:00:00,168.75,168.75,168.05,168.3,829927
12,2022-07-11 12:15:00,168.3,168.65,168.1,168.3,836554
13,2022-07-11 12:30:00,168.35,168.4,168.1,168.15,847695
14,2022-07-11 12:45:00,168.15,168.5,168.05,168.5,854579
15,2022-07-11 13:00:00,168.5,168.95,168.25,168.8,867926
16,2022-07-11 13:15:00,168.8,168.95,168.35,168.35,877029
17,2022-07-11 13:30:00,168.35,168.7,168.15,168.65,888902
18,2022-07-11 13:45:00,168.4,169.05,168.4,168.65,903033
19,2022-07-11 14:00:00,168.65,169.45,168.65,168.85,923120
20,2022-07-11 14:15:00,168.75,169.0,168.2,168.4,961268
21,2022-07-11 14:30:00,168.4,168.5,168.15,168.45,972522
22,2022-07-11 14:45:00,168.45,168.5,167.5,167.9,1006885
23,2022-07-11 15:00:00,167.9,168.3,167.5,167.9,1056040
24,2022-07-11 15:15:00,167.85,168.0,165.75,166.35,1277532
25,2022-07-11 15:30:00,166.95,166.95,166.95,166.95,1279034
26,2022-07-12 09:15:00,165.1,166.85,164.6,166.3,61088
27,2022-07-12 09:30:00,166.25,166.6,165.8,166.5,106065
28,2022-07-12 09:45:00,166.5,166.5,165.5,165.7,139302
29,2022-07-12 10:00:00,165.85,166.05,165.85,166.0,162458
30,2022-07-12 10:15:00,166.0,166.0,165.1,165.45,179482
31,2022-07-12 10:30:00,165.45,165.55,164.85,164.95,203486
32,2022-07-12 10:45:00,164.95,165.0,164.2,164.6,237955
