,Date,o,h,l,c,v
0,2022-07-25 09:15:00,37.4,37.4,36.4,37.15,576009
1,2022-07-25 09:30:00,37.0,37.75,36.85,37.1,1658207
2,2022-07-25 09:45:00,36.9,36.9,36.5,36.7,1952285
3,2022-07-25 10:00:00,36.7,36.7,36.1,36.2,2062489
4,2022-07-25 10:15:00,36.2,36.45,36.2,36.45,2245543
5,2022-07-25 10:30:00,36.45,36.55,36.4,36.5,2325048
6,2022-07-25 10:45:00,36.5,36.55,36.4,36.55,2374214
7,2022-07-25 11:00:00,36.5,36.55,36.4,36.4,2401496
8,2022-07-25 11:15:00,36.45,36.55,36.4,36.5,2423533
9,2022-07-25 11:30:00,36.45,36.6,36.45,36.5,2443074
10,2022-07-25 11:45:00,36.6,36.7,36.5,36.55,2469499
11,2022-07-25 12:00:00,36.55,36.6,36.45,36.5,2492204
12,2022-07-25 12:15:00,36.5,36.6,36.45,36.5,2509303
13,2022-07-25 12:30:00,36.5,36.55,36.45,36.45,2525526
14,2022-07-25 12:45:00,36.45,36.7,36.45,36.65,2568496
15,2022-07-25 13:00:00,36.65,36.7,36.5,36.55,2611905
16,2022-07-25 13:15:00,36.55,37.55,36.55,37.25,2777861
17,2022-07-25 13:30:00,37.25,37.4,37.2,37.35,2948816
18,2022-07-25 13:45:00,37.35,37.4,37.3,37.3,3009571
19,2022-07-25 14:00:00,37.35,37.55,37.3,37.45,3078911
20,2022-07-25 14:15:00,37.45,37.5,37.3,37.35,3147430
21,2022-07-25 14:30:00,37.35,37.5,37.2,37.2,3220968
22,2022-07-25 14:45:00,37.2,37.4,37.15,37.25,3284857
23,2022-07-25 15:00:00,37.2,37.9,37.15,37.5,3668386
24,2022-07-25 15:15:00,37.5,37.65,37.45,37.55,3990577
25,2022-07-25 15:30:00,37.6,37.65,37.6,37.65,4176124
