,Date,o,h,l,c,v
0,2022-07-25 09:15:00,3794.65,3817.75,3787.1,3793.6,8201
1,2022-07-25 09:30:00,3795.0,3806.35,3788.65,3799.9,17353
2,2022-07-25 09:45:00,3799.9,3799.9,3781.05,3784.9,23094
3,2022-07-25 10:00:00,3784.9,3785.0,3774.0,3779.25,28482
4,2022-07-25 10:15:00,3779.65,3783.45,3774.05,3778.2,33486
5,2022-07-25 10:30:00,3778.2,3781.25,3775.0,3778.5,38017
6,2022-07-25 10:45:00,3779.25,3780.0,3774.05,3776.8,40158
7,2022-07-25 11:00:00,3776.8,3777.45,3768.05,3771.05,42590
8,2022-07-25 11:15:00,3772.65,3777.35,3766.55,3772.0,46576
9,2022-07-25 11:30:00,3772.0,3775.0,3767.05,3775.0,50170
10,2022-07-25 11:45:00,3775.0,3778.65,3769.2,3772.0,53271
11,2022-07-25 12:00:00,3772.0,3772.75,3766.0,3769.9,56520
12,2022-07-25 12:15:00,3769.9,3782.0,3769.9,3780.1,60293
13,2022-07-25 12:30:00,3780.1,3785.0,3779.0,3781.05,64493
14,2022-07-25 12:45:00,3781.05,3785.65,3776.5,3780.15,66697
15,2022-07-25 13:00:00,3780.15,3788.8,3775.55,3786.5,68545
16,2022-07-25 13:15:00,3786.5,3791.9,3776.95,3778.4,72586
17,2022-07-25 13:30:00,3778.4,3778.4,3772.5,3774.25,74642
18,2022-07-25 13:45:00,3774.25,3777.0,3769.75,3772.9,75735
19,2022-07-25 14:00:00,3773.9,3784.7,3772.0,3778.9,79699
20,2022-07-25 14:15:00,3778.9,3786.95,3776.65,3784.4,84407
21,2022-07-25 14:30:00,3784.4,3789.0,3772.05,3775.65,86625
22,2022-07-25 14:45:00,3775.65,3779.3,3770.0,3777.55,92313
23,2022-07-25 15:00:00,3777.55,3782.5,3770.0,3779.7,98606
24,2022-07-25 15:15:00,3777.65,3780.85,3762.0,3762.2,107531
25,2022-07-25 15:30:00,3774.3,3774.3,3774.3,3774.3,111911
