,Date,o,h,l,c,v
0,2022-07-11 09:15:00,3633.7,3680.75,3621.5,3669.9,11545
1,2022-07-11 09:30:00,3669.9,3710.0,3666.25,3709.0,29453
2,2022-07-11 09:45:00,3709.0,3723.0,3705.9,3711.9,42566
3,2022-07-11 10:00:00,3711.9,3715.0,3705.1,3708.05,48190
4,2022-07-11 10:15:00,3708.05,3715.0,3685.05,3696.7,55462
5,2022-07-11 10:30:00,3696.7,3712.55,3695.6,3696.9,57818
6,2022-07-11 10:45:00,3696.9,3698.35,3689.4,3693.0,60522
7,2022-07-11 11:00:00,3694.6,3697.0,3690.1,3695.95,61656
8,2022-07-11 11:15:00,3695.95,3696.0,3680.5,3682.6,64078
9,2022-07-11 11:30:00,3682.6,3695.95,3681.6,3685.5,65714
10,2022-07-11 11:45:00,3685.5,3692.7,3682.75,3691.7,67320
11,2022-07-11 12:00:00,3691.7,3719.0,3690.2,3708.1,75447
12,2022-07-11 12:15:00,3708.1,3708.1,3700.0,3702.75,77970
13,2022-07-11 12:30:00,3703.0,3709.7,3701.7,3706.45,79959
14,2022-07-11 12:45:00,3706.45,3711.0,3702.35,3709.4,82010
15,2022-07-11 13:00:00,3709.4,3719.5,3707.35,3717.6,86561
16,2022-07-11 13:15:00,3717.15,3727.0,3717.0,3719.65,95464
17,2022-07-11 13:30:00,3717.1,3741.05,3715.95,3730.05,109083
18,2022-07-11 13:45:00,3730.05,3748.0,3726.9,3742.85,122443
19,2022-07-11 14:00:00,3744.95,3748.7,3731.7,3732.4,129800
20,2022-07-11 14:15:00,3732.4,3738.0,3726.5,3737.85,134568
21,2022-07-11 14:30:00,3738.0,3744.95,3728.0,3731.8,140391
22,2022-07-11 14:45:00,3731.8,3740.4,3729.8,3732.05,146323
23,2022-07-11 15:00:00,3735.65,3747.1,3734.0,3742.5,154690
24,2022-07-11 15:15:00,3743.45,3749.9,3732.75,3745.0,171978
25,2022-07-11 15:30:00,3741.25,3741.25,3741.25,3741.25,172006
26,2022-07-12 09:15:00,3745.65,3812.55,3727.15,3811.05,26351
27,2022-07-12 09:30:00,3812.0,3840.0,3793.35,3826.05,104352
28,2022-07-12 09:45:00,3825.5,3850.0,3821.0,3839.8,167663
29,2022-07-12 10:00:00,3841.0,3859.8,3829.5,3832.05,229174
30,2022-07-12 10:15:00,3832.05,3834.0,3816.25,3816.25,262367
31,2022-07-12 10:30:00,3818.9,3847.4,3814.1,3845.0,285575
32,2022-07-12 10:45:00,3845.0,3845.0,3833.0,3839.05,298381
