,Date,o,h,l,c,v
0,2022-07-25 09:15:00,3966.05,3971.7,3935.6,3938.95,13705
1,2022-07-25 09:30:00,3938.0,3969.95,3937.0,3954.05,30116
2,2022-07-25 09:45:00,3956.15,3956.15,3941.1,3949.0,41189
3,2022-07-25 10:00:00,3949.0,3970.05,3946.85,3969.8,46381
4,2022-07-25 10:15:00,3967.15,3980.85,3966.0,3974.0,58813
5,2022-07-25 10:30:00,3974.0,3975.1,3970.0,3971.7,67448
6,2022-07-25 10:45:00,3973.1,3999.0,3972.0,3997.0,83439
7,2022-07-25 11:00:00,3997.0,3997.7,3972.9,3975.5,98887
8,2022-07-25 11:15:00,3975.5,3985.0,3975.5,3981.85,109982
9,2022-07-25 11:30:00,3981.85,3996.5,3980.8,3995.0,154557
10,2022-07-25 11:45:00,3994.0,4034.0,3990.95,4032.0,193080
11,2022-07-25 12:00:00,4030.25,4050.0,4030.25,4047.1,237607
12,2022-07-25 12:15:00,4046.0,4050.0,4035.0,4037.6,265291
13,2022-07-25 12:30:00,4039.95,4040.0,4022.9,4026.05,282471
14,2022-07-25 12:45:00,4025.05,4041.0,4025.0,4036.5,298767
15,2022-07-25 13:00:00,4036.5,4041.0,4035.3,4038.5,308003
16,2022-07-25 13:15:00,4036.15,4048.65,4036.15,4045.0,318013
17,2022-07-25 13:30:00,4045.0,4045.0,4038.0,4039.15,328266
18,2022-07-25 13:45:00,4039.15,4045.0,4039.15,4043.45,336245
19,2022-07-25 14:00:00,4040.0,4045.0,4038.05,4040.6,347137
20,2022-07-25 14:15:00,4039.75,4045.0,4039.75,4041.8,356869
21,2022-07-25 14:30:00,4043.75,4050.0,4039.0,4046.0,368917
22,2022-07-25 14:45:00,4046.0,4047.15,4037.25,4043.0,381536
23,2022-07-25 15:00:00,4043.0,4043.0,4032.0,4036.1,400543
24,2022-07-25 15:15:00,4036.1,4049.0,4031.4,4041.1,430585
25,2022-07-25 15:30:00,4040.2,4040.2,4040.05,4040.05,444430
