,Date,o,h,l,c,v
0,2022-07-11 09:15:00,389.55,394.65,388.55,393.05,19802
1,2022-07-11 09:30:00,393.05,394.0,392.45,392.95,31436
2,2022-07-11 09:45:00,392.95,393.65,388.05,389.4,56634
3,2022-07-11 10:00:00,389.55,390.45,389.4,389.6,63499
4,2022-07-11 10:15:00,389.55,389.9,389.0,389.9,66948
5,2022-07-11 10:30:00,389.9,390.4,389.1,389.15,75621
6,2022-07-11 10:45:00,389.15,390.0,389.1,389.5,76759
7,2022-07-11 11:00:00,389.5,390.0,389.0,389.5,82160
8,2022-07-11 11:15:00,389.5,390.0,388.6,388.65,161299
9,2022-07-11 11:30:00,388.65,389.95,388.6,389.2,163063
10,2022-07-11 11:45:00,389.2,389.9,389.2,389.6,172626
11,2022-07-11 12:00:00,389.6,390.0,388.85,389.4,177737
12,2022-07-11 12:15:00,389.4,389.75,389.05,389.35,178824
13,2022-07-11 12:30:00,389.35,389.6,388.85,388.85,182202
14,2022-07-11 12:45:00,389.0,390.3,388.85,389.55,187136
15,2022-07-11 13:00:00,389.55,390.4,389.45,389.85,190410
16,2022-07-11 13:15:00,389.85,390.0,388.85,389.45,198608
17,2022-07-11 13:30:00,389.45,390.0,389.25,389.6,203754
18,2022-07-11 13:45:00,389.6,390.2,389.6,389.7,212492
19,2022-07-11 14:00:00,389.7,390.9,389.5,389.5,218883
20,2022-07-11 14:15:00,389.5,390.7,389.5,389.75,228211
21,2022-07-11 14:30:00,389.75,390.45,389.65,389.65,238290
22,2022-07-11 14:45:00,389.65,390.6,389.65,390.0,243416
23,2022-07-11 15:00:00,390.45,391.1,388.75,388.8,316447
24,2022-07-11 15:15:00,388.8,389.45,388.75,389.3,333899
25,2022-07-11 15:30:00,389.5,389.5,389.5,389.5,333899
26,2022-07-12 09:15:00,388.95,389.4,388.05,389.1,8175
27,2022-07-12 09:30:00,389.1,390.95,388.2,388.55,22262
28,2022-07-12 09:45:00,388.75,390.45,388.5,389.15,36452
29,2022-07-12 10:00:00,389.25,394.65,388.55,392.15,52215
30,2022-07-12 10:15:00,392.15,392.25,390.55,392.0,101348
31,2022-07-12 10:30:00,392.0,393.0,391.05,391.3,166384
32,2022-07-12 10:45:00,391.3,391.55,390.3,390.3,192007
