,Date,o,h,l,c,v
0,2022-07-25 09:15:00,2220.55,2225.8,2200.0,2201.0,270
1,2022-07-25 09:30:00,2201.0,2209.8,2192.0,2202.75,691
2,2022-07-25 09:45:00,2202.75,2203.05,2195.9,2200.0,935
3,2022-07-25 10:00:00,2200.0,2203.15,2194.0,2201.9,1299
4,2022-07-25 10:15:00,2201.9,2201.9,2198.0,2198.0,1547
5,2022-07-25 10:30:00,2198.0,2198.8,2194.9,2196.7,1615
6,2022-07-25 10:45:00,2196.7,2197.9,2193.45,2195.65,1744
7,2022-07-25 11:00:00,2195.65,2199.65,2194.95,2194.95,1819
8,2022-07-25 11:15:00,2194.95,2194.95,2193.0,2194.5,1957
9,2022-07-25 11:30:00,2194.5,2199.05,2194.0,2198.05,2118
10,2022-07-25 11:45:00,2198.05,2198.05,2193.4,2193.4,2317
11,2022-07-25 12:00:00,2193.4,2197.15,2193.1,2197.15,2389
12,2022-07-25 12:15:00,2197.15,2199.4,2196.65,2197.25,2435
13,2022-07-25 12:30:00,2197.25,2197.25,2175.55,2184.15,2677
14,2022-07-25 12:45:00,2184.15,2192.55,2184.15,2189.85,3626
15,2022-07-25 13:00:00,2189.85,2189.85,2185.5,2187.85,3865
16,2022-07-25 13:15:00,2187.85,2193.2,2186.55,2190.0,3945
17,2022-07-25 13:30:00,2190.0,2190.0,2185.45,2187.05,4000
18,2022-07-25 13:45:00,2187.05,2189.55,2187.05,2189.1,4110
19,2022-07-25 14:00:00,2187.2,2192.95,2187.2,2192.4,4214
20,2022-07-25 14:15:00,2192.4,2192.4,2180.15,2182.8,4370
21,2022-07-25 14:30:00,2182.8,2186.5,2182.0,2184.0,4560
22,2022-07-25 14:45:00,2184.0,2188.6,2184.0,2185.55,4737
23,2022-07-25 15:00:00,2185.55,2187.45,2184.0,2186.85,4979
24,2022-07-25 15:15:00,2184.5,2198.75,2184.5,2188.35,5470
25,2022-07-25 15:30:00,2188.35,2188.35,2187.5,2187.5,5778
