,Date,o,h,l,c,v
0,2022-07-11 09:15:00,52.95,53.2,52.5,53.05,49233
1,2022-07-11 09:30:00,53.05,53.2,53.0,53.2,64918
2,2022-07-11 09:45:00,53.2,53.4,53.1,53.15,84395
3,2022-07-11 10:00:00,53.15,53.25,53.1,53.15,87396
4,2022-07-11 10:15:00,53.15,53.35,53.15,53.3,92902
5,2022-07-11 10:30:00,53.35,53.45,53.25,53.35,99575
6,2022-07-11 10:45:00,53.35,53.6,53.3,53.5,112540
7,2022-07-11 11:00:00,53.6,53.6,53.35,53.6,133551
8,2022-07-11 11:15:00,53.6,53.6,53.4,53.55,139412
9,2022-07-11 11:30:00,53.55,53.6,53.4,53.4,165777
10,2022-07-11 11:45:00,53.4,53.4,53.2,53.35,179973
11,2022-07-11 12:00:00,53.4,53.55,53.35,53.5,183317
12,2022-07-11 12:15:00,53.5,53.5,53.1,53.35,206609
13,2022-07-11 12:30:00,53.25,53.6,53.25,53.4,232138
14,2022-07-11 12:45:00,53.4,53.65,53.4,53.6,245889
15,2022-07-11 13:00:00,53.6,53.6,53.5,53.6,259126
16,2022-07-11 13:15:00,53.6,53.8,53.6,53.65,270692
17,2022-07-11 13:30:00,53.65,53.7,53.5,53.65,277124
18,2022-07-11 13:45:00,53.7,53.75,53.5,53.55,283464
19,2022-07-11 14:00:00,53.55,53.7,53.5,53.5,291150
20,2022-07-11 14:15:00,53.5,53.6,53.45,53.6,295088
21,2022-07-11 14:30:00,53.6,53.7,53.6,53.6,310283
22,2022-07-11 14:45:00,53.65,53.75,53.55,53.7,335704
23,2022-07-11 15:00:00,53.7,53.9,53.5,53.65,375870
24,2022-07-11 15:15:00,53.6,53.65,53.45,53.6,409701
25,2022-07-11 15:30:00,53.65,53.65,53.65,53.65,409701
26,2022-07-12 09:15:00,53.65,53.75,53.35,53.7,19768
27,2022-07-12 09:30:00,53.7,53.8,53.6,53.8,40674
28,2022-07-12 09:45:00,53.8,53.85,53.7,53.7,49920
29,2022-07-12 10:00:00,53.7,53.8,53.7,53.8,55163
30,2022-07-12 10:15:00,53.8,54.65,53.6,54.65,63077
31,2022-07-12 10:30:00,54.65,54.9,54.25,54.55,183103
32,2022-07-12 10:45:00,54.55,56.2,54.25,55.45,398334
