,Date,o,h,l,c,v
0,2022-07-11 09:15:00,547.2,547.2,541.4,542.65,33774
1,2022-07-11 09:30:00,542.65,548.8,541.8,548.15,67006
2,2022-07-11 09:45:00,548.0,551.2,547.05,547.95,92809
3,2022-07-11 10:00:00,547.95,551.9,545.8,548.2,132390
4,2022-07-11 10:15:00,548.2,549.75,547.0,548.15,151302
5,2022-07-11 10:30:00,548.4,549.2,547.0,548.05,158770
6,2022-07-11 10:45:00,548.6,549.4,547.2,547.8,171515
7,2022-07-11 11:00:00,548.4,548.85,547.0,548.25,181785
8,2022-07-11 11:15:00,548.25,549.5,546.95,547.65,194709
9,2022-07-11 11:30:00,547.6,548.3,546.15,547.8,210901
10,2022-07-11 11:45:00,547.85,549.0,546.25,548.0,222892
11,2022-07-11 12:00:00,548.0,549.0,547.05,547.95,232979
12,2022-07-11 12:15:00,547.95,547.95,544.55,545.15,253069
13,2022-07-11 12:30:00,545.1,547.45,545.1,546.6,258027
14,2022-07-11 12:45:00,546.6,548.4,545.6,548.0,264155
15,2022-07-11 13:00:00,548.0,548.6,546.85,548.1,268713
16,2022-07-11 13:15:00,548.0,548.6,544.8,544.8,276540
17,2022-07-11 13:30:00,544.85,544.85,543.75,544.4,281948
18,2022-07-11 13:45:00,544.4,544.85,542.45,543.1,291435
19,2022-07-11 14:00:00,543.35,545.4,542.7,543.3,295982
20,2022-07-11 14:15:00,543.3,544.65,541.4,541.7,310132
21,2022-07-11 14:30:00,541.7,543.5,540.25,543.45,327053
22,2022-07-11 14:45:00,543.45,544.8,542.0,544.8,337028
23,2022-07-11 15:00:00,544.75,548.6,544.6,548.0,374841
24,2022-07-11 15:15:00,548.0,550.55,543.1,544.95,416967
25,2022-07-11 15:30:00,547.35,547.35,547.35,547.35,417681
26,2022-07-12 09:15:00,548.0,548.0,541.4,545.45,13888
27,2022-07-12 09:30:00,545.55,552.6,544.8,547.75,55012
28,2022-07-12 09:45:00,547.75,563.9,547.2,560.7,186103
29,2022-07-12 10:00:00,560.7,565.65,559.45,562.7,307894
30,2022-07-12 10:15:00,563.25,565.65,561.45,564.5,380645
31,2022-07-12 10:30:00,564.5,565.15,562.1,562.75,421705
32,2022-07-12 10:45:00,562.75,565.7,561.15,564.95,494670
