,Date,o,h,l,c,v
0,2022-07-25 09:15:00,469.15,471.15,465.75,471.15,5207
1,2022-07-25 09:30:00,471.15,473.0,469.55,470.0,14187
2,2022-07-25 09:45:00,470.0,470.5,470.0,470.05,17288
3,2022-07-25 10:00:00,470.05,470.75,470.05,470.15,18744
4,2022-07-25 10:15:00,470.75,470.75,470.1,470.45,19874
5,2022-07-25 10:30:00,470.45,470.8,470.25,470.55,20433
6,2022-07-25 10:45:00,470.65,471.0,470.25,470.25,21578
7,2022-07-25 11:00:00,470.1,470.65,469.05,470.15,24648
8,2022-07-25 11:15:00,470.2,470.5,470.0,470.1,26744
9,2022-07-25 11:30:00,470.1,470.45,470.0,470.45,27683
10,2022-07-25 11:45:00,470.0,470.45,470.0,470.45,28246
11,2022-07-25 12:00:00,470.45,470.8,470.45,470.7,28421
12,2022-07-25 12:15:00,470.7,470.9,470.3,470.9,28610
13,2022-07-25 12:30:00,470.9,471.3,470.0,471.3,31932
14,2022-07-25 12:45:00,471.3,471.8,471.0,471.7,34117
15,2022-07-25 13:00:00,471.7,471.7,470.1,470.5,35050
16,2022-07-25 13:15:00,470.5,471.1,470.45,471.1,35804
17,2022-07-25 13:30:00,471.1,473.25,471.1,473.05,38301
18,2022-07-25 13:45:00,473.1,475.0,472.6,473.15,57203
19,2022-07-25 14:00:00,473.15,474.85,472.15,474.15,72881
20,2022-07-25 14:15:00,474.25,475.0,473.45,473.8,79512
21,2022-07-25 14:30:00,473.8,474.5,473.05,473.5,81261
22,2022-07-25 14:45:00,473.5,474.0,472.3,472.3,82589
23,2022-07-25 15:00:00,472.5,474.45,471.75,473.25,85400
24,2022-07-25 15:15:00,473.3,474.35,471.3,473.3,90821
25,2022-07-25 15:30:00,471.75,473.4,471.75,473.4,94448
