,Date,o,h,l,c,v
0,2022-07-25 09:15:00,183.95,184.5,182.6,183.3,7538
1,2022-07-25 09:30:00,183.4,187.85,182.0,187.55,28675
2,2022-07-25 09:45:00,187.4,187.85,184.4,186.4,70384
3,2022-07-25 10:00:00,186.5,186.7,184.75,185.1,85651
4,2022-07-25 10:15:00,185.15,186.1,184.55,184.6,93246
5,2022-07-25 10:30:00,184.6,185.55,183.55,185.3,99896
6,2022-07-25 10:45:00,185.3,185.8,185.0,185.0,104418
7,2022-07-25 11:00:00,185.0,185.25,184.5,184.75,107716
8,2022-07-25 11:15:00,184.7,185.5,184.5,185.05,110258
9,2022-07-25 11:30:00,185.05,185.15,184.55,184.65,114225
10,2022-07-25 11:45:00,184.65,184.95,184.6,184.7,117383
11,2022-07-25 12:00:00,184.95,185.0,184.5,184.5,118815
12,2022-07-25 12:15:00,184.5,184.95,184.5,184.55,120778
13,2022-07-25 12:30:00,184.55,184.85,184.05,184.05,122046
14,2022-07-25 12:45:00,184.1,184.75,183.05,183.55,134423
15,2022-07-25 13:00:00,183.55,183.55,181.65,182.0,150267
16,2022-07-25 13:15:00,182.0,182.0,181.0,181.2,163238
17,2022-07-25 13:30:00,181.2,181.2,179.2,179.55,179108
18,2022-07-25 13:45:00,179.55,179.65,178.25,179.0,192572
19,2022-07-25 14:00:00,179.0,179.65,179.0,179.3,207697
20,2022-07-25 14:15:00,179.3,179.55,178.75,179.1,219953
21,2022-07-25 14:30:00,179.1,180.9,179.05,180.05,237360
22,2022-07-25 14:45:00,180.05,180.35,179.5,180.0,266226
23,2022-07-25 15:00:00,180.0,180.6,180.0,180.15,287543
24,2022-07-25 15:15:00,180.15,180.3,179.4,179.4,322884
25,2022-07-25 15:30:00,179.15,180.05,179.15,180.05,338711
