,Date,o,h,l,c,v
0,2022-07-12 11:15:00,90.6,90.8,90.4,90.55,208066
1,2022-07-12 11:30:00,90.55,90.7,90.2,90.3,228258
2,2022-07-12 11:45:00,90.3,90.6,90.25,90.25,236640
3,2022-07-12 12:00:00,90.25,90.4,89.9,90.0,256741
4,2022-07-12 12:15:00,89.95,90.05,89.8,89.9,261323
5,2022-07-12 12:30:00,89.9,90.0,89.85,89.85,273900
6,2022-07-12 12:45:00,89.85,90.35,89.75,90.15,287910
7,2022-07-12 13:00:00,90.1,90.25,90.0,90.15,290084
8,2022-07-12 13:15:00,90.15,90.75,90.15,90.3,299196
9,2022-07-12 13:30:00,90.3,90.4,90.1,90.3,305698
10,2022-07-12 13:45:00,90.25,90.6,90.25,90.4,319262
11,2022-07-12 14:00:00,90.4,90.45,90.0,90.15,328691
12,2022-07-12 14:15:00,90.1,90.55,89.85,90.1,357145
13,2022-07-12 14:30:00,90.1,90.3,90.1,90.2,365087
14,2022-07-12 14:45:00,90.25,90.3,90.1,90.1,370821
15,2022-07-12 15:00:00,90.1,90.6,89.95,90.55,399118
16,2022-07-12 15:15:00,90.55,90.55,89.75,90.1,450763
17,2022-07-12 15:30:00,90.2,90.2,90.2,90.2,450763
18,2022-07-13 09:15:00,90.0,90.75,89.7,89.7,3552
19,2022-07-13 09:30:00,89.7,90.0,89.7,89.7,23573
20,2022-07-13 09:45:00,89.7,89.8,89.6,89.75,38109
21,2022-07-13 10:00:00,89.7,89.95,89.65,89.95,42737
22,2022-07-13 10:15:00,89.95,89.95,89.6,89.6,47450
23,2022-07-13 10:30:00,89.6,89.65,89.4,89.45,52842
24,2022-07-13 10:45:00,89.45,89.6,89.45,89.45,56213
25,2022-07-13 11:00:00,89.45,89.6,89.4,89.45,60124
