,Date,o,h,l,c,v
0,2022-07-12 11:15:00,41.3,41.6,41.3,41.35,350822
1,2022-07-12 11:30:00,41.35,41.5,41.35,41.4,364762
2,2022-07-12 11:45:00,41.4,41.45,41.35,41.35,367641
3,2022-07-12 12:00:00,41.35,41.4,41.3,41.35,372231
4,2022-07-12 12:15:00,41.3,41.35,41.2,41.2,394817
5,2022-07-12 12:30:00,41.2,41.35,41.2,41.3,402422
6,2022-07-12 12:45:00,41.3,41.3,41.25,41.25,406699
7,2022-07-12 13:00:00,41.3,41.3,41.1,41.2,430735
8,2022-07-12 13:15:00,41.2,41.25,41.15,41.2,433841
9,2022-07-12 13:30:00,41.2,41.2,41.1,41.15,438348
10,2022-07-12 13:45:00,41.1,41.2,41.1,41.1,455632
11,2022-07-12 14:00:00,41.15,41.3,41.1,41.2,460683
12,2022-07-12 14:15:00,41.2,41.3,41.15,41.2,466556
13,2022-07-12 14:30:00,41.2,41.25,41.05,41.1,487774
14,2022-07-12 14:45:00,41.1,41.2,41.1,41.1,499428
15,2022-07-12 15:00:00,41.1,41.15,41.0,41.1,518733
16,2022-07-12 15:15:00,41.1,41.25,41.05,41.25,547554
17,2022-07-12 15:30:00,41.1,41.1,41.1,41.1,547618
18,2022-07-13 09:15:00,41.35,41.4,41.1,41.35,22433
19,2022-07-13 09:30:00,41.3,41.35,41.15,41.25,44287
20,2022-07-13 09:45:00,41.25,41.25,41.15,41.25,57754
21,2022-07-13 10:00:00,41.3,41.4,41.25,41.4,66488
22,2022-07-13 10:15:00,41.4,41.4,41.2,41.3,73774
23,2022-07-13 10:30:00,41.3,41.3,41.2,41.25,81005
24,2022-07-13 10:45:00,41.25,41.35,41.2,41.3,88412
25,2022-07-13 11:00:00,41.3,41.3,41.1,41.15,113512
