,Date,o,h,l,c,v
0,2022-07-11 09:15:00,657.4,660.2,653.85,658.8,168
1,2022-07-11 09:30:00,658.05,659.3,656.95,656.95,282
2,2022-07-11 09:45:00,656.95,656.95,652.75,652.75,458
3,2022-07-11 10:00:00,654.05,655.65,652.9,655.65,571
4,2022-07-11 10:15:00,655.65,657.8,653.95,657.8,670
5,2022-07-11 10:30:00,657.8,659.2,656.6,658.6,854
6,2022-07-11 10:45:00,658.6,658.6,650.1,651.7,1640
7,2022-07-11 11:00:00,651.7,652.65,651.15,651.7,1757
8,2022-07-11 11:15:00,651.7,653.35,650.05,651.95,2026
9,2022-07-11 11:30:00,651.95,653.4,650.55,653.1,2287
10,2022-07-11 11:45:00,653.1,653.2,650.7,652.95,3385
11,2022-07-11 12:00:00,652.3,653.85,650.7,653.15,3565
12,2022-07-11 12:15:00,653.15,653.15,651.95,652.0,3591
13,2022-07-11 12:30:00,653.05,654.2,651.95,653.8,3720
14,2022-07-11 12:45:00,653.95,656.6,653.75,655.4,3856
15,2022-07-11 13:00:00,655.55,656.6,655.55,656.55,3924
16,2022-07-11 13:15:00,655.75,657.15,654.0,654.0,4069
17,2022-07-11 13:30:00,654.0,654.0,653.0,653.05,4297
18,2022-07-11 13:45:00,653.05,654.0,653.0,653.25,4587
19,2022-07-11 14:00:00,653.25,653.25,650.7,650.7,5138
20,2022-07-11 14:15:00,650.7,652.65,650.6,652.65,5330
21,2022-07-11 14:30:00,652.75,652.75,651.85,652.25,5384
22,2022-07-11 14:45:00,652.25,652.95,651.1,651.5,5576
23,2022-07-11 15:00:00,651.5,651.5,651.1,651.45,5664
24,2022-07-11 15:15:00,651.45,654.5,650.1,650.1,6551
25,2022-07-11 15:30:00,651.85,651.85,651.85,651.85,6551
26,2022-07-12 09:15:00,653.15,654.3,650.8,652.0,43
27,2022-07-12 09:30:00,652.0,652.95,651.45,651.8,121
28,2022-07-12 09:45:00,652.45,652.45,651.65,651.65,173
29,2022-07-12 10:00:00,651.8,653.55,651.8,653.55,341
30,2022-07-12 10:15:00,653.55,660.05,653.0,657.1,553
31,2022-07-12 10:30:00,657.1,658.9,657.1,657.65,987
32,2022-07-12 10:45:00,659.15,659.35,657.75,659.35,1112
