,Date,o,h,l,c,v
0,2022-07-25 09:15:00,105.7,105.9,103.95,104.35,12924
1,2022-07-25 09:30:00,104.35,104.5,103.1,103.2,30701
2,2022-07-25 09:45:00,103.2,103.75,102.9,103.0,39611
3,2022-07-25 10:00:00,103.0,103.55,102.7,103.45,45428
4,2022-07-25 10:15:00,103.45,104.4,103.45,104.35,52187
5,2022-07-25 10:30:00,104.2,104.3,103.7,103.9,57722
6,2022-07-25 10:45:00,103.9,104.05,103.8,103.8,58649
7,2022-07-25 11:00:00,103.75,103.75,103.4,103.4,61503
8,2022-07-25 11:15:00,103.4,104.0,103.4,103.85,62761
9,2022-07-25 11:30:00,103.85,104.15,103.85,104.0,64924
10,2022-07-25 11:45:00,104.0,104.0,104.0,104.0,66692
11,2022-07-25 12:00:00,104.0,104.25,103.75,103.9,67967
12,2022-07-25 12:15:00,103.9,104.1,103.9,104.0,69873
13,2022-07-25 12:30:00,104.0,104.0,103.9,103.9,70202
14,2022-07-25 12:45:00,103.9,104.15,103.9,104.15,70919
15,2022-07-25 13:00:00,104.15,104.2,104.0,104.2,71764
16,2022-07-25 13:15:00,104.3,104.3,104.2,104.2,74040
17,2022-07-25 13:30:00,104.2,104.5,104.2,104.3,75230
18,2022-07-25 13:45:00,104.3,104.4,104.15,104.15,76150
19,2022-07-25 14:00:00,104.15,104.4,104.05,104.4,76764
20,2022-07-25 14:15:00,104.4,104.5,104.2,104.5,77560
21,2022-07-25 14:30:00,104.5,104.5,104.3,104.35,79843
22,2022-07-25 14:45:00,104.35,104.55,104.3,104.4,81356
23,2022-07-25 15:00:00,104.4,104.55,104.15,104.2,85613
24,2022-07-25 15:15:00,104.2,104.5,103.15,103.3,93104
25,2022-07-25 15:30:00,103.45,104.15,103.45,104.15,98875
