,Date,o,h,l,c,v
0,2022-07-25 09:15:00,107.15,107.75,107.0,107.75,787916
1,2022-07-25 09:30:00,107.75,107.9,107.2,107.35,2123987
2,2022-07-25 09:45:00,107.35,107.45,106.3,106.8,3132331
3,2022-07-25 10:00:00,106.75,106.95,106.3,106.8,4197476
4,2022-07-25 10:15:00,106.7,107.2,106.45,106.7,4646596
5,2022-07-25 10:30:00,106.75,106.8,106.55,106.75,4981499
6,2022-07-25 10:45:00,106.75,106.8,106.45,106.5,5271378
7,2022-07-25 11:00:00,106.55,106.55,106.15,106.35,5622799
8,2022-07-25 11:15:00,106.3,106.4,106.1,106.3,5881257
9,2022-07-25 11:30:00,106.3,106.4,106.2,106.35,6061620
10,2022-07-25 11:45:00,106.35,106.65,106.35,106.5,6265441
11,2022-07-25 12:00:00,106.5,106.6,106.25,106.35,6444778
12,2022-07-25 12:15:00,106.35,106.6,106.35,106.5,6647175
13,2022-07-25 12:30:00,106.6,106.75,106.15,106.3,6845076
14,2022-07-25 12:45:00,106.2,106.45,106.15,106.25,7116365
15,2022-07-25 13:00:00,106.3,106.3,105.6,106.05,7640661
16,2022-07-25 13:15:00,106.1,106.3,106.0,106.25,8066046
17,2022-07-25 13:30:00,106.25,106.25,105.95,106.0,8301042
18,2022-07-25 13:45:00,106.05,106.25,106.0,106.05,8455708
19,2022-07-25 14:00:00,106.2,106.75,106.1,106.7,8667931
20,2022-07-25 14:15:00,106.75,106.9,106.6,106.85,8999487
21,2022-07-25 14:30:00,106.85,107.45,106.7,107.3,9600552
22,2022-07-25 14:45:00,107.3,107.6,107.25,107.55,10123033
23,2022-07-25 15:00:00,107.55,107.55,107.25,107.4,10660501
24,2022-07-25 15:15:00,107.4,107.5,107.0,107.1,11256209
25,2022-07-25 15:30:00,107.1,107.35,107.1,107.35,11500407
