,Date,o,h,l,c,v
0,2022-07-11 09:15:00,248.25,249.55,246.2,246.6,28773
1,2022-07-11 09:30:00,246.55,247.5,246.0,246.65,40571
2,2022-07-11 09:45:00,246.8,247.45,246.35,247.3,46890
3,2022-07-11 10:00:00,247.4,248.05,247.25,247.75,52198
4,2022-07-11 10:15:00,247.8,248.05,247.25,247.6,60166
5,2022-07-11 10:30:00,247.5,248.15,247.4,247.55,65591
6,2022-07-11 10:45:00,247.55,248.1,247.25,247.55,69342
7,2022-07-11 11:00:00,247.65,247.85,247.05,247.65,72829
8,2022-07-11 11:15:00,247.65,247.85,247.05,247.4,79827
9,2022-07-11 11:30:00,247.2,247.9,247.0,247.5,85106
10,2022-07-11 11:45:00,247.5,247.65,246.6,246.65,108901
11,2022-07-11 12:00:00,246.6,247.75,246.5,247.5,113378
12,2022-07-11 12:15:00,247.5,247.6,246.7,246.75,118114
13,2022-07-11 12:30:00,246.75,247.7,246.75,247.15,120720
14,2022-07-11 12:45:00,247.1,247.9,247.1,247.25,123369
15,2022-07-11 13:00:00,247.35,247.7,247.15,247.6,126228
16,2022-07-11 13:15:00,247.65,247.9,246.7,246.8,129941
17,2022-07-11 13:30:00,246.75,249.35,246.75,248.65,155711
18,2022-07-11 13:45:00,248.65,248.65,248.0,248.1,159103
19,2022-07-11 14:00:00,248.1,248.6,248.0,248.05,161947
20,2022-07-11 14:15:00,248.05,248.65,247.9,248.35,164816
21,2022-07-11 14:30:00,248.35,248.85,248.0,248.15,169175
22,2022-07-11 14:45:00,248.15,248.5,248.0,248.3,179816
23,2022-07-11 15:00:00,248.05,248.8,247.8,248.25,267791
24,2022-07-11 15:15:00,248.25,248.6,247.85,248.1,974473
25,2022-07-11 15:30:00,248.1,248.15,248.1,248.15,974473
26,2022-07-12 09:15:00,248.45,250.85,248.1,249.5,28558
27,2022-07-12 09:30:00,249.5,249.5,248.5,248.95,55578
28,2022-07-12 09:45:00,248.65,250.85,247.55,250.65,112513
29,2022-07-12 10:00:00,250.65,251.95,249.8,250.5,249968
30,2022-07-12 10:15:00,250.45,251.7,250.25,251.55,309281
31,2022-07-12 10:30:00,251.55,251.75,251.05,251.5,350234
32,2022-07-12 10:45:00,251.5,252.95,251.4,252.95,410625
