,Date,o,h,l,c,v
0,2022-07-25 09:15:00,108.2,108.3,107.45,107.65,112552
1,2022-07-25 09:30:00,107.7,109.1,107.5,108.0,483827
2,2022-07-25 09:45:00,108.0,108.1,107.8,107.95,706072
3,2022-07-25 10:00:00,108.0,108.35,107.4,107.95,871861
4,2022-07-25 10:15:00,107.95,108.85,107.9,108.7,1014609
5,2022-07-25 10:30:00,108.7,109.8,108.5,109.6,1182791
6,2022-07-25 10:45:00,109.55,109.55,109.15,109.3,1388007
7,2022-07-25 11:00:00,109.3,109.45,108.85,108.85,1511203
8,2022-07-25 11:15:00,108.9,109.45,108.85,109.05,1597754
9,2022-07-25 11:30:00,109.05,109.5,109.05,109.3,1668662
10,2022-07-25 11:45:00,109.25,109.5,109.15,109.45,1730403
11,2022-07-25 12:00:00,109.3,109.45,109.15,109.2,1765347
12,2022-07-25 12:15:00,109.15,109.2,108.95,108.95,1783255
13,2022-07-25 12:30:00,108.95,109.4,108.8,108.8,1836751
14,2022-07-25 12:45:00,108.8,110.2,108.75,109.6,1975249
15,2022-07-25 13:00:00,109.55,110.35,109.1,110.25,2294408
16,2022-07-25 13:15:00,110.25,110.5,109.85,110.15,2730607
17,2022-07-25 13:30:00,110.15,110.25,109.85,110.15,2953058
18,2022-07-25 13:45:00,110.2,110.2,109.8,110.15,3040308
19,2022-07-25 14:00:00,110.15,110.4,109.3,110.25,3157346
20,2022-07-25 14:15:00,110.25,110.95,110.2,110.6,3441185
21,2022-07-25 14:30:00,110.6,111.15,110.4,110.95,3624943
22,2022-07-25 14:45:00,110.95,111.3,110.75,110.95,4056732
23,2022-07-25 15:00:00,110.9,110.9,110.35,110.6,4334553
24,2022-07-25 15:15:00,110.65,110.7,110.2,110.4,4635243
25,2022-07-25 15:30:00,110.4,110.55,110.4,110.55,4752721
