,Date,o,h,l,c,v
0,2022-07-11 09:15:00,301.3,307.3,301.0,304.95,50902
1,2022-07-11 09:30:00,304.95,309.0,304.85,308.4,81122
2,2022-07-11 09:45:00,308.4,310.5,307.4,307.9,110304
3,2022-07-11 10:00:00,307.9,309.9,306.7,308.7,134229
4,2022-07-11 10:15:00,308.7,308.7,307.4,307.9,141699
5,2022-07-11 10:30:00,307.9,308.7,307.75,308.7,146539
6,2022-07-11 10:45:00,308.7,309.0,308.55,308.65,151113
7,2022-07-11 11:00:00,308.65,310.0,308.0,309.75,163977
8,2022-07-11 11:15:00,310.0,311.7,309.4,310.45,189195
9,2022-07-11 11:30:00,310.45,310.5,308.0,308.1,198298
10,2022-07-11 11:45:00,308.1,309.45,308.0,309.15,207647
11,2022-07-11 12:00:00,309.15,310.95,308.9,310.4,215857
12,2022-07-11 12:15:00,310.4,310.45,308.5,308.55,220100
13,2022-07-11 12:30:00,308.55,309.2,307.9,308.5,228366
14,2022-07-11 12:45:00,308.5,309.5,307.95,309.35,232173
15,2022-07-11 13:00:00,309.35,309.4,308.5,309.35,235220
16,2022-07-11 13:15:00,309.35,309.95,308.2,309.0,240293
17,2022-07-11 13:30:00,309.0,309.9,308.4,309.1,244463
18,2022-07-11 13:45:00,309.1,309.55,308.0,308.0,249313
19,2022-07-11 14:00:00,308.0,309.4,307.5,308.45,264732
20,2022-07-11 14:15:00,308.45,309.45,308.15,308.5,267548
21,2022-07-11 14:30:00,308.5,309.9,308.25,308.25,274850
22,2022-07-11 14:45:00,308.25,309.8,307.75,309.55,281840
23,2022-07-11 15:00:00,309.55,311.0,308.35,310.5,303447
24,2022-07-11 15:15:00,310.5,314.2,310.5,312.95,371056
25,2022-07-11 15:30:00,312.95,312.95,312.25,312.25,371132
26,2022-07-12 09:15:00,312.0,314.7,310.2,313.9,17829
27,2022-07-12 09:30:00,313.9,314.45,313.0,314.0,38393
28,2022-07-12 09:45:00,314.0,317.1,313.65,316.5,68319
29,2022-07-12 10:00:00,316.5,318.4,315.05,317.65,97337
30,2022-07-12 10:15:00,317.65,317.65,316.5,317.5,117308
31,2022-07-12 10:30:00,317.5,317.5,316.25,316.9,123466
32,2022-07-12 10:45:00,316.9,317.25,316.5,316.7,129989
