,Date,o,h,l,c,v
0,2022-07-25 09:15:00,3057.65,3057.65,3043.5,3049.15,562
1,2022-07-25 09:30:00,3049.15,3065.6,3034.05,3063.15,1883
2,2022-07-25 09:45:00,3063.15,3065.6,3053.3,3061.25,3421
3,2022-07-25 10:00:00,3064.0,3065.0,3050.7,3060.0,4265
4,2022-07-25 10:15:00,3060.0,3100.0,3060.0,3090.3,5698
5,2022-07-25 10:30:00,3090.0,3095.9,3084.0,3095.9,7102
6,2022-07-25 10:45:00,3092.0,3096.9,3077.85,3082.45,7750
7,2022-07-25 11:00:00,3082.45,3087.05,3070.0,3075.3,8221
8,2022-07-25 11:15:00,3075.3,3079.0,3071.0,3073.9,8554
9,2022-07-25 11:30:00,3074.65,3093.3,3070.7,3075.4,9203
10,2022-07-25 11:45:00,3075.4,3082.8,3073.1,3079.0,9538
11,2022-07-25 12:00:00,3079.0,3079.0,3070.45,3074.7,9655
12,2022-07-25 12:15:00,3074.7,3090.15,3064.65,3085.55,10235
13,2022-07-25 12:30:00,3085.55,3085.55,3080.1,3080.2,10509
14,2022-07-25 12:45:00,3080.2,3090.15,3077.55,3084.5,10697
15,2022-07-25 13:00:00,3084.5,3088.75,3076.75,3082.1,11417
16,2022-07-25 13:15:00,3082.1,3084.9,3080.0,3084.8,11600
17,2022-07-25 13:30:00,3084.8,3084.8,3080.0,3081.0,11699
18,2022-07-25 13:45:00,3081.0,3088.65,3077.85,3083.25,11867
19,2022-07-25 14:00:00,3083.25,3087.7,3080.55,3085.2,12053
20,2022-07-25 14:15:00,3085.2,3088.0,3085.0,3086.0,12361
21,2022-07-25 14:30:00,3086.0,3100.0,3081.75,3099.0,12784
22,2022-07-25 14:45:00,3099.0,3123.95,3093.15,3123.95,14797
23,2022-07-25 15:00:00,3123.0,3123.95,3110.15,3113.9,16738
24,2022-07-25 15:15:00,3113.9,3117.75,3080.05,3103.0,18447
25,2022-07-25 15:30:00,3103.0,3109.15,3103.0,3109.15,19414
