,Date,o,h,l,c,v
0,2022-07-25 09:15:00,463.7,478.55,463.05,474.7,175596
1,2022-07-25 09:30:00,475.0,477.5,470.9,473.9,332870
2,2022-07-25 09:45:00,473.6,475.45,471.2,472.0,435261
3,2022-07-25 10:00:00,471.65,472.0,466.6,470.0,566723
4,2022-07-25 10:15:00,469.5,472.35,468.55,469.55,660298
5,2022-07-25 10:30:00,469.55,471.5,469.55,470.9,687635
6,2022-07-25 10:45:00,470.9,471.0,468.7,468.9,707240
7,2022-07-25 11:00:00,469.2,469.2,465.3,466.4,734143
8,2022-07-25 11:15:00,467.2,468.3,465.5,467.7,756679
9,2022-07-25 11:30:00,467.7,468.45,466.95,467.15,771304
10,2022-07-25 11:45:00,467.15,467.5,465.3,466.0,784854
11,2022-07-25 12:00:00,466.0,466.2,465.5,465.9,796622
12,2022-07-25 12:15:00,466.0,466.2,463.0,463.7,808730
13,2022-07-25 12:30:00,463.7,464.5,462.0,464.5,831852
14,2022-07-25 12:45:00,465.0,465.55,460.3,461.75,848764
15,2022-07-25 13:00:00,461.75,462.45,461.0,462.0,875578
16,2022-07-25 13:15:00,462.0,462.0,457.0,458.9,913315
17,2022-07-25 13:30:00,458.9,459.1,457.0,458.0,939247
18,2022-07-25 13:45:00,458.0,458.0,455.0,456.75,967262
19,2022-07-25 14:00:00,456.75,456.75,455.05,456.45,983982
20,2022-07-25 14:15:00,456.45,463.9,456.15,463.9,1011276
21,2022-07-25 14:30:00,463.9,465.9,459.05,459.25,1060326
22,2022-07-25 14:45:00,459.25,465.0,459.25,464.25,1094069
23,2022-07-25 15:00:00,464.25,465.0,462.85,464.2,1122313
24,2022-07-25 15:15:00,464.35,465.0,462.6,465.0,1167873
25,2022-07-25 15:30:00,465.0,465.0,464.3,464.3,1187982
