,Date,o,h,l,c,v
0,2022-07-25 09:15:00,117.6,117.65,115.45,116.45,21399
1,2022-07-25 09:30:00,116.45,116.95,116.1,116.5,30823
2,2022-07-25 09:45:00,116.5,116.85,116.35,116.35,38853
3,2022-07-25 10:00:00,116.55,116.6,116.2,116.3,42617
4,2022-07-25 10:15:00,116.3,116.55,116.2,116.35,43751
5,2022-07-25 10:30:00,116.35,116.6,116.0,116.4,47014
6,2022-07-25 10:45:00,116.55,116.55,116.15,116.45,49701
7,2022-07-25 11:00:00,116.5,116.5,116.05,116.1,50318
8,2022-07-25 11:15:00,116.1,116.3,116.0,116.3,52201
9,2022-07-25 11:30:00,116.3,116.45,116.15,116.15,53053
10,2022-07-25 11:45:00,116.35,116.5,116.3,116.45,54181
11,2022-07-25 12:00:00,116.45,116.45,116.2,116.3,55206
12,2022-07-25 12:15:00,116.3,116.45,116.3,116.45,56353
13,2022-07-25 12:30:00,116.25,116.45,116.25,116.4,57492
14,2022-07-25 12:45:00,116.4,116.4,116.25,116.25,60516
15,2022-07-25 13:00:00,116.25,116.45,116.25,116.45,64207
16,2022-07-25 13:15:00,116.45,116.45,116.25,116.4,65571
17,2022-07-25 13:30:00,116.4,116.45,116.3,116.45,66895
18,2022-07-25 13:45:00,116.45,116.45,116.3,116.35,68657
19,2022-07-25 14:00:00,116.35,116.45,116.25,116.45,69189
20,2022-07-25 14:15:00,116.45,116.45,116.25,116.4,69855
21,2022-07-25 14:30:00,116.4,116.45,116.3,116.45,72763
22,2022-07-25 14:45:00,116.45,116.45,116.3,116.4,74241
23,2022-07-25 15:00:00,116.45,116.85,116.4,116.85,76588
24,2022-07-25 15:15:00,116.8,117.0,116.8,117.0,85413
25,2022-07-25 15:30:00,117.0,117.0,116.85,116.85,92664
