,Date,o,h,l,c,v
0,2022-07-11 09:15:00,2535.05,2565.95,2529.05,2536.65,12935
1,2022-07-11 09:30:00,2537.0,2538.05,2525.0,2531.15,17630
2,2022-07-11 09:45:00,2531.15,2536.95,2528.75,2531.3,18875
3,2022-07-11 10:00:00,2531.3,2535.55,2528.0,2531.7,20978
4,2022-07-11 10:15:00,2531.7,2534.2,2521.15,2527.95,25116
5,2022-07-11 10:30:00,2527.95,2530.0,2520.0,2520.35,30181
6,2022-07-11 10:45:00,2520.35,2526.1,2520.0,2524.4,31501
7,2022-07-11 11:00:00,2524.4,2524.4,2515.7,2523.2,34145
8,2022-07-11 11:15:00,2523.15,2523.15,2501.25,2502.05,42882
9,2022-07-11 11:30:00,2501.85,2508.3,2500.25,2502.6,46505
10,2022-07-11 11:45:00,2502.55,2503.75,2486.25,2494.6,61891
11,2022-07-11 12:00:00,2494.6,2501.4,2491.95,2498.6,66703
12,2022-07-11 12:15:00,2498.6,2499.95,2491.65,2494.35,70161
13,2022-07-11 12:30:00,2494.85,2498.5,2490.75,2496.8,76355
14,2022-07-11 12:45:00,2495.5,2498.35,2493.05,2497.3,78883
15,2022-07-11 13:00:00,2497.3,2502.75,2491.85,2494.65,84277
16,2022-07-11 13:15:00,2494.65,2497.95,2491.45,2497.9,86914
17,2022-07-11 13:30:00,2497.85,2503.75,2495.2,2502.05,90868
18,2022-07-11 13:45:00,2502.0,2504.7,2496.4,2499.95,98153
19,2022-07-11 14:00:00,2499.95,2503.9,2495.05,2495.1,102163
20,2022-07-11 14:15:00,2495.15,2498.05,2494.85,2496.3,116871
21,2022-07-11 14:30:00,2496.3,2498.0,2494.75,2497.15,120938
22,2022-07-11 14:45:00,2497.1,2498.6,2495.0,2496.75,129472
23,2022-07-11 15:00:00,2497.4,2498.15,2495.0,2496.0,140891
24,2022-07-11 15:15:00,2495.95,2497.9,2493.0,2495.5,156262
25,2022-07-11 15:30:00,2496.2,2496.2,2496.2,2496.2,156274
26,2022-07-12 09:15:00,2496.0,2523.0,2493.85,2498.0,7943
27,2022-07-12 09:30:00,2498.0,2500.0,2492.95,2493.85,18681
28,2022-07-12 09:45:00,2494.1,2509.0,2493.95,2507.0,25520
29,2022-07-12 10:00:00,2507.0,2518.4,2503.55,2516.3,29205
30,2022-07-12 10:15:00,2516.3,2522.95,2512.55,2514.0,35097
31,2022-07-12 10:30:00,2514.85,2516.25,2510.0,2513.05,37060
32,2022-07-12 10:45:00,2511.45,2518.6,2511.45,2515.0,48048
