,Date,o,h,l,c,v
0,2022-07-11 09:15:00,1490.0,1492.05,1478.0,1478.05,5123
1,2022-07-11 09:30:00,1478.05,1486.0,1478.0,1486.0,6070
2,2022-07-11 09:45:00,1486.0,1487.95,1486.0,1487.0,6838
3,2022-07-11 10:00:00,1487.0,1491.95,1486.85,1490.15,10567
4,2022-07-11 10:15:00,1490.15,1493.85,1490.0,1493.1,12062
5,2022-07-11 10:30:00,1493.1,1493.1,1489.95,1490.0,13088
6,2022-07-11 10:45:00,1490.0,1493.0,1490.0,1490.0,13579
7,2022-07-11 11:00:00,1490.0,1493.4,1490.0,1493.3,13972
8,2022-07-11 11:15:00,1493.3,1494.0,1491.5,1493.0,14414
9,2022-07-11 11:30:00,1493.0,1493.0,1489.1,1490.05,15397
10,2022-07-11 11:45:00,1490.05,1493.7,1489.6,1490.05,16062
11,2022-07-11 12:00:00,1490.05,1491.95,1490.05,1490.7,16499
12,2022-07-11 12:15:00,1490.7,1494.0,1490.0,1491.65,18060
13,2022-07-11 12:30:00,1491.65,1492.9,1488.65,1491.55,18665
14,2022-07-11 12:45:00,1491.55,1491.55,1490.1,1491.2,18930
15,2022-07-11 13:00:00,1491.2,1491.95,1490.0,1491.25,19259
16,2022-07-11 13:15:00,1491.25,1493.8,1491.0,1492.55,19732
17,2022-07-11 13:30:00,1490.9,1493.85,1490.9,1493.85,20841
18,2022-07-11 13:45:00,1493.85,1497.9,1493.85,1495.7,21887
19,2022-07-11 14:00:00,1496.05,1497.5,1493.4,1493.4,22789
20,2022-07-11 14:15:00,1493.4,1495.55,1491.0,1493.75,23551
21,2022-07-11 14:30:00,1493.75,1495.25,1490.0,1490.0,24348
22,2022-07-11 14:45:00,1490.0,1492.95,1490.0,1492.9,25304
23,2022-07-11 15:00:00,1492.9,1502.4,1492.6,1500.0,29831
24,2022-07-11 15:15:00,1500.0,1503.0,1498.15,1503.0,33235
25,2022-07-11 15:30:00,1499.5,1499.5,1499.5,1499.5,33235
26,2022-07-12 09:15:00,1494.15,1496.2,1490.6,1495.9,724
27,2022-07-12 09:30:00,1495.9,1504.45,1493.25,1501.5,1840
28,2022-07-12 09:45:00,1501.5,1501.5,1498.4,1499.15,5044
29,2022-07-12 10:00:00,1501.7,1503.9,1499.15,1500.5,5652
30,2022-07-12 10:15:00,1500.5,1501.95,1498.7,1500.0,6293
31,2022-07-12 10:30:00,1500.0,1501.35,1498.65,1500.6,6581
32,2022-07-12 10:45:00,1500.6,1501.3,1500.15,1500.15,7403
