,Date,o,h,l,c,v
0,2022-07-11 09:15:00,469.4,469.4,464.05,464.9,3901
1,2022-07-11 09:30:00,464.9,465.5,462.0,465.2,6746
2,2022-07-11 09:45:00,464.75,464.9,463.0,463.4,7342
3,2022-07-11 10:00:00,463.4,464.05,461.45,464.05,8248
4,2022-07-11 10:15:00,464.05,466.9,462.85,463.7,9582
5,2022-07-11 10:30:00,463.7,463.7,462.1,463.6,10136
6,2022-07-11 10:45:00,462.55,464.6,462.55,463.0,10696
7,2022-07-11 11:00:00,463.0,464.55,463.0,463.9,10991
8,2022-07-11 11:15:00,463.85,464.2,463.0,463.05,12822
9,2022-07-11 11:30:00,463.05,465.45,463.0,465.45,13431
10,2022-07-11 11:45:00,465.45,465.85,464.05,465.0,13880
11,2022-07-11 12:00:00,465.0,465.0,464.0,464.35,14109
12,2022-07-11 12:15:00,464.3,464.3,464.0,464.0,14192
13,2022-07-11 12:30:00,464.0,464.0,463.0,463.25,14612
14,2022-07-11 12:45:00,463.25,464.4,462.85,464.0,15099
15,2022-07-11 13:00:00,464.55,464.55,464.2,464.5,15304
16,2022-07-11 13:15:00,464.5,465.0,464.5,465.0,15483
17,2022-07-11 13:30:00,465.0,465.7,465.0,465.0,15754
18,2022-07-11 13:45:00,464.45,465.1,464.05,464.3,16670
19,2022-07-11 14:00:00,464.3,466.75,464.3,465.1,17292
20,2022-07-11 14:15:00,465.1,468.9,464.3,465.9,19686
21,2022-07-11 14:30:00,465.9,472.35,465.9,472.35,23826
22,2022-07-11 14:45:00,472.35,472.7,469.05,470.0,25363
23,2022-07-11 15:00:00,470.25,470.25,467.15,468.15,27179
24,2022-07-11 15:15:00,469.55,472.95,466.2,471.0,30480
25,2022-07-11 15:30:00,471.0,471.0,469.45,469.45,30497
26,2022-07-12 09:15:00,472.0,472.0,463.15,467.95,1254
27,2022-07-12 09:30:00,467.95,468.6,466.4,466.8,2613
28,2022-07-12 09:45:00,466.8,471.05,466.8,470.95,3762
29,2022-07-12 10:00:00,470.95,472.8,470.0,470.25,4760
30,2022-07-12 10:15:00,470.25,471.7,470.0,471.7,5545
31,2022-07-12 10:30:00,471.7,472.45,470.0,470.05,6588
32,2022-07-12 10:45:00,470.1,470.15,470.0,470.05,7117
