,Date,o,h,l,c,v
0,2022-07-25 09:15:00,502.0,502.3,500.6,500.85,2717
1,2022-07-25 09:30:00,500.85,502.65,500.85,501.8,5978
2,2022-07-25 09:45:00,501.8,502.75,501.8,502.4,8243
3,2022-07-25 10:00:00,502.4,503.0,501.3,503.0,9875
4,2022-07-25 10:15:00,503.5,503.5,502.3,502.9,11344
5,2022-07-25 10:30:00,503.15,508.9,503.1,507.15,15889
6,2022-07-25 10:45:00,507.15,507.15,505.5,505.55,19092
7,2022-07-25 11:00:00,505.55,506.0,504.05,504.85,22013
8,2022-07-25 11:15:00,504.85,505.05,504.05,504.45,23365
9,2022-07-25 11:30:00,504.45,505.05,503.15,503.95,24137
10,2022-07-25 11:45:00,503.95,505.0,503.4,504.4,24701
11,2022-07-25 12:00:00,504.4,505.0,504.1,504.45,25352
12,2022-07-25 12:15:00,504.45,505.0,504.1,504.4,26017
13,2022-07-25 12:30:00,504.4,504.5,503.5,504.0,26513
14,2022-07-25 12:45:00,504.0,504.8,503.7,503.7,26779
15,2022-07-25 13:00:00,503.7,504.55,503.6,503.65,27130
16,2022-07-25 13:15:00,503.65,504.8,503.65,504.65,27768
17,2022-07-25 13:30:00,504.65,506.0,504.0,504.0,29923
18,2022-07-25 13:45:00,504.95,504.95,502.35,503.7,32658
19,2022-07-25 14:00:00,503.7,506.25,503.7,504.8,34640
20,2022-07-25 14:15:00,504.8,506.05,503.85,505.15,36662
21,2022-07-25 14:30:00,505.15,507.35,504.15,506.0,38312
22,2022-07-25 14:45:00,506.0,506.75,506.0,506.2,39990
23,2022-07-25 15:00:00,506.15,506.85,505.05,505.6,42046
24,2022-07-25 15:15:00,506.5,508.0,504.2,506.6,47213
25,2022-07-25 15:30:00,506.6,506.6,506.35,506.35,48603
