,Date,o,h,l,c,v
0,2022-07-11 09:15:00,425.0,431.65,425.0,430.05,14220
1,2022-07-11 09:30:00,430.05,434.0,430.0,431.2,24875
2,2022-07-11 09:45:00,431.2,431.7,430.0,430.4,27716
3,2022-07-11 10:00:00,430.4,430.7,430.0,430.25,30397
4,2022-07-11 10:15:00,430.25,431.65,430.25,431.65,32441
5,2022-07-11 10:30:00,431.65,432.8,430.9,430.9,34872
6,2022-07-11 10:45:00,430.9,431.75,430.85,431.3,35910
7,2022-07-11 11:00:00,431.3,431.9,431.15,431.8,37027
8,2022-07-11 11:15:00,431.8,431.8,431.05,431.2,37460
9,2022-07-11 11:30:00,431.2,431.45,430.85,431.35,41548
10,2022-07-11 11:45:00,431.35,431.75,430.95,431.55,42996
11,2022-07-11 12:00:00,431.55,431.75,431.05,431.75,43765
12,2022-07-11 12:15:00,431.7,431.8,431.1,431.75,44664
13,2022-07-11 12:30:00,431.75,431.8,431.5,431.75,45187
14,2022-07-11 12:45:00,431.75,431.85,431.5,431.75,45785
15,2022-07-11 13:00:00,431.75,434.9,431.75,434.45,50490
16,2022-07-11 13:15:00,434.45,437.8,434.45,436.7,65038
17,2022-07-11 13:30:00,436.7,436.9,435.35,436.4,67555
18,2022-07-11 13:45:00,436.4,436.9,435.05,435.7,74888
19,2022-07-11 14:00:00,435.5,436.95,435.0,436.45,79369
20,2022-07-11 14:15:00,436.45,436.5,435.0,435.0,82851
21,2022-07-11 14:30:00,435.0,436.25,434.9,435.35,87324
22,2022-07-11 14:45:00,435.55,436.85,435.0,435.8,92610
23,2022-07-11 15:00:00,435.95,436.9,433.5,433.8,98265
24,2022-07-11 15:15:00,433.25,435.0,431.0,432.95,107756
25,2022-07-11 15:30:00,432.95,434.05,432.95,434.05,107756
26,2022-07-12 09:15:00,434.05,440.75,433.5,439.0,5233
27,2022-07-12 09:30:00,439.4,441.0,438.8,439.55,14964
28,2022-07-12 09:45:00,439.55,442.0,439.55,441.95,22034
29,2022-07-12 10:00:00,442.0,442.0,441.5,441.5,32881
30,2022-07-12 10:15:00,441.7,441.85,440.75,441.35,36612
31,2022-07-12 10:30:00,441.35,441.85,440.7,441.35,39150
32,2022-07-12 10:45:00,441.35,441.35,440.5,440.5,40525
