,Date,o,h,l,c,v
0,2022-07-25 09:15:00,1448.95,1448.95,1435.4,1436.0,26667
1,2022-07-25 09:30:00,1435.95,1440.0,1432.2,1435.25,48603
2,2022-07-25 09:45:00,1436.7,1439.95,1428.9,1431.1,63871
3,2022-07-25 10:00:00,1431.1,1434.8,1428.0,1434.05,89891
4,2022-07-25 10:15:00,1434.05,1438.5,1433.65,1437.9,103067
5,2022-07-25 10:30:00,1437.9,1438.6,1435.6,1435.65,110266
6,2022-07-25 10:45:00,1435.65,1437.85,1434.0,1435.65,115308
7,2022-07-25 11:00:00,1435.65,1435.75,1425.05,1425.95,124953
8,2022-07-25 11:15:00,1425.8,1431.0,1425.7,1428.9,136410
9,2022-07-25 11:30:00,1428.2,1429.9,1421.5,1424.1,149318
10,2022-07-25 11:45:00,1424.1,1425.8,1418.85,1421.0,168767
11,2022-07-25 12:00:00,1421.0,1424.0,1417.15,1418.1,181536
12,2022-07-25 12:15:00,1418.8,1420.1,1415.2,1419.4,191072
13,2022-07-25 12:30:00,1419.4,1421.9,1417.4,1419.45,197126
14,2022-07-25 12:45:00,1419.45,1422.95,1418.05,1420.05,200865
15,2022-07-25 13:00:00,1420.05,1423.35,1417.4,1422.9,207823
16,2022-07-25 13:15:00,1422.9,1424.0,1418.4,1423.05,216940
17,2022-07-25 13:30:00,1422.35,1422.95,1418.65,1421.3,227071
18,2022-07-25 13:45:00,1421.3,1424.9,1420.0,1422.0,232979
19,2022-07-25 14:00:00,1421.8,1429.9,1421.3,1429.2,241375
20,2022-07-25 14:15:00,1429.2,1435.05,1429.2,1433.0,254696
21,2022-07-25 14:30:00,1433.0,1434.0,1428.3,1432.35,268149
22,2022-07-25 14:45:00,1432.35,1435.2,1428.9,1433.3,277133
23,2022-07-25 15:00:00,1433.3,1435.8,1431.25,1433.4,293321
24,2022-07-25 15:15:00,1433.4,1434.55,1427.65,1431.0,321587
25,2022-07-25 15:30:00,1431.0,1432.45,1431.0,1432.45,333854
