,Date,o,h,l,c,v
0,2022-07-25 09:15:00,83.0,83.0,81.15,81.3,24480
1,2022-07-25 09:30:00,81.3,81.45,80.55,80.7,56503
2,2022-07-25 09:45:00,80.5,81.3,80.3,81.25,79186
3,2022-07-25 10:00:00,81.25,81.3,81.0,81.15,87739
4,2022-07-25 10:15:00,81.2,81.2,81.1,81.2,97301
5,2022-07-25 10:30:00,81.2,81.45,81.1,81.25,103387
6,2022-07-25 10:45:00,81.25,81.5,81.25,81.45,107785
7,2022-07-25 11:00:00,81.45,81.5,81.4,81.5,110900
8,2022-07-25 11:15:00,81.45,81.5,81.25,81.45,113295
9,2022-07-25 11:30:00,81.6,81.65,81.5,81.65,116260
10,2022-07-25 11:45:00,81.65,81.65,81.45,81.45,117744
11,2022-07-25 12:00:00,81.5,81.75,81.45,81.7,119896
12,2022-07-25 12:15:00,81.65,81.7,81.05,81.25,125239
13,2022-07-25 12:30:00,81.25,81.5,81.25,81.45,129615
14,2022-07-25 12:45:00,81.4,81.55,81.4,81.5,131198
15,2022-07-25 13:00:00,81.45,81.7,81.4,81.7,133354
16,2022-07-25 13:15:00,81.65,82.25,81.5,82.05,140996
17,2022-07-25 13:30:00,82.05,82.15,81.95,82.05,147582
18,2022-07-25 13:45:00,82.05,82.05,81.85,82.0,150105
19,2022-07-25 14:00:00,82.0,82.05,81.1,81.9,165502
20,2022-07-25 14:15:00,81.75,81.85,80.9,81.1,198850
21,2022-07-25 14:30:00,81.1,81.55,80.85,81.0,216191
22,2022-07-25 14:45:00,81.0,81.25,81.0,81.2,238454
23,2022-07-25 15:00:00,81.15,81.65,80.85,81.6,248917
24,2022-07-25 15:15:00,81.6,81.7,81.2,81.6,269036
25,2022-07-25 15:30:00,81.4,81.4,81.4,81.4,288109
