,Date,o,h,l,c,v
0,2022-07-11 09:15:00,280.55,280.85,278.0,278.05,33752
1,2022-07-11 09:30:00,278.05,279.75,277.7,279.5,60499
2,2022-07-11 09:45:00,279.3,279.75,278.55,278.8,72593
3,2022-07-11 10:00:00,278.8,283.95,278.45,283.75,127413
4,2022-07-11 10:15:00,283.95,290.0,283.3,289.1,462023
5,2022-07-11 10:30:00,289.0,292.85,288.5,292.15,771015
6,2022-07-11 10:45:00,291.8,294.25,291.5,293.6,1031134
7,2022-07-11 11:00:00,293.35,295.55,292.5,294.9,1299872
8,2022-07-11 11:15:00,294.9,295.25,293.35,293.45,1459727
9,2022-07-11 11:30:00,293.35,293.5,292.05,292.75,1576982
10,2022-07-11 11:45:00,292.75,295.7,292.45,294.85,1773347
11,2022-07-11 12:00:00,294.9,296.75,294.35,296.55,2186766
12,2022-07-11 12:15:00,296.55,296.8,295.05,295.45,2306176
13,2022-07-11 12:30:00,295.45,296.5,295.05,296.4,2389416
14,2022-07-11 12:45:00,296.4,296.8,295.65,296.7,2497637
15,2022-07-11 13:00:00,296.75,296.75,295.55,296.5,2581203
16,2022-07-11 13:15:00,296.6,296.6,294.5,295.2,2756204
17,2022-07-11 13:30:00,295.35,297.0,295.25,296.1,2895758
18,2022-07-11 13:45:00,296.25,296.5,295.7,296.05,2960058
19,2022-07-11 14:00:00,296.05,296.7,295.85,296.35,3017113
20,2022-07-11 14:15:00,296.35,298.4,296.25,298.05,3216584
21,2022-07-11 14:30:00,298.05,298.15,295.15,296.3,3444383
22,2022-07-11 14:45:00,296.25,297.25,295.6,296.75,3538631
23,2022-07-11 15:00:00,296.7,297.3,296.0,296.2,3681043
24,2022-07-11 15:15:00,296.2,298.1,295.5,296.25,4061188
25,2022-07-11 15:30:00,297.05,297.05,297.05,297.05,4062359
26,2022-07-12 09:15:00,294.05,297.2,293.4,295.2,146077
27,2022-07-12 09:30:00,295.2,296.4,293.35,293.4,241819
28,2022-07-12 09:45:00,293.0,295.15,292.75,294.15,351060
29,2022-07-12 10:00:00,294.15,297.8,294.05,295.8,435325
30,2022-07-12 10:15:00,295.8,296.65,295.15,296.5,527480
31,2022-07-12 10:30:00,296.5,296.65,295.65,296.0,571177
32,2022-07-12 10:45:00,296.0,296.55,296.0,296.55,598076
