,Date,o,h,l,c,v
0,2022-07-11 09:15:00,1388.05,1388.95,1375.05,1382.45,31548
1,2022-07-11 09:30:00,1382.45,1389.0,1380.7,1387.6,48675
2,2022-07-11 09:45:00,1387.0,1393.0,1387.0,1391.8,70350
3,2022-07-11 10:00:00,1391.8,1394.45,1391.8,1392.85,79458
4,2022-07-11 10:15:00,1392.15,1394.9,1391.0,1392.1,91453
5,2022-07-11 10:30:00,1392.05,1393.1,1388.55,1388.7,99108
6,2022-07-11 10:45:00,1388.7,1393.0,1388.7,1389.75,106480
7,2022-07-11 11:00:00,1390.55,1391.35,1388.55,1391.35,113030
8,2022-07-11 11:15:00,1391.45,1392.25,1389.8,1391.3,117246
9,2022-07-11 11:30:00,1391.3,1392.25,1389.0,1389.55,123226
10,2022-07-11 11:45:00,1389.55,1391.25,1387.1,1391.25,128368
11,2022-07-11 12:00:00,1391.25,1391.75,1388.85,1390.45,134254
12,2022-07-11 12:15:00,1390.45,1390.5,1388.2,1388.2,136293
13,2022-07-11 12:30:00,1388.7,1389.4,1386.85,1387.5,144291
14,2022-07-11 12:45:00,1387.5,1387.5,1386.05,1386.9,148207
15,2022-07-11 13:00:00,1386.9,1390.8,1385.25,1390.3,158343
16,2022-07-11 13:15:00,1390.3,1392.7,1388.7,1392.05,178238
17,2022-07-11 13:30:00,1392.5,1394.75,1390.4,1391.45,234273
18,2022-07-11 13:45:00,1391.45,1398.8,1390.6,1397.4,364456
19,2022-07-11 14:00:00,1397.2,1400.45,1394.5,1399.7,482421
20,2022-07-11 14:15:00,1399.3,1406.0,1398.35,1404.3,561428
21,2022-07-11 14:30:00,1404.3,1411.0,1404.05,1405.35,628090
22,2022-07-11 14:45:00,1405.35,1409.9,1403.1,1406.6,655121
23,2022-07-11 15:00:00,1406.7,1407.5,1403.0,1406.05,694337
24,2022-07-11 15:15:00,1406.05,1408.75,1402.0,1404.0,758179
25,2022-07-11 15:30:00,1406.0,1406.0,1406.0,1406.0,758189
26,2022-07-12 09:15:00,1393.95,1395.95,1386.95,1392.5,22629
27,2022-07-12 09:30:00,1392.5,1394.0,1390.0,1393.5,44222
28,2022-07-12 09:45:00,1392.65,1401.0,1392.1,1393.75,70879
29,2022-07-12 10:00:00,1393.75,1398.85,1393.05,1397.5,84460
30,2022-07-12 10:15:00,1397.5,1398.05,1394.85,1396.5,95902
31,2022-07-12 10:30:00,1396.5,1397.45,1389.5,1390.5,107699
32,2022-07-12 10:45:00,1390.5,1393.65,1389.5,1393.0,119183
