,Date,o,h,l,c,v
0,2022-07-11 09:15:00,132.85,133.95,132.2,132.8,141353
1,2022-07-11 09:30:00,132.8,134.25,132.3,134.25,207691
2,2022-07-11 09:45:00,134.25,134.25,132.75,133.1,263684
3,2022-07-11 10:00:00,133.1,133.8,132.85,133.35,300255
4,2022-07-11 10:15:00,133.35,134.0,133.3,133.9,328059
5,2022-07-11 10:30:00,133.9,134.15,133.6,133.75,357964
6,2022-07-11 10:45:00,133.75,135.45,133.75,135.25,438307
7,2022-07-11 11:00:00,135.25,135.5,134.1,134.2,513698
8,2022-07-11 11:15:00,134.2,134.75,133.85,133.85,545212
9,2022-07-11 11:30:00,133.9,134.1,133.3,133.55,584771
10,2022-07-11 11:45:00,133.55,133.95,133.55,133.9,592815
11,2022-07-11 12:00:00,133.9,134.3,133.7,134.25,609474
12,2022-07-11 12:15:00,134.25,134.65,134.0,134.1,619338
13,2022-07-11 12:30:00,134.1,134.4,134.0,134.05,632014
14,2022-07-11 12:45:00,134.05,134.5,134.0,134.1,643162
15,2022-07-11 13:00:00,134.1,135.0,134.0,134.8,669072
16,2022-07-11 13:15:00,134.8,135.3,134.6,134.75,689100
17,2022-07-11 13:30:00,134.75,135.8,134.6,135.55,743380
18,2022-07-11 13:45:00,135.55,135.75,135.2,135.5,771977
19,2022-07-11 14:00:00,135.5,136.05,135.35,135.55,822407
20,2022-07-11 14:15:00,135.55,136.0,135.1,135.9,852685
21,2022-07-11 14:30:00,135.9,135.9,135.3,135.45,874438
22,2022-07-11 14:45:00,135.45,135.7,135.35,135.6,915640
23,2022-07-11 15:00:00,135.6,136.2,135.6,135.7,1010745
24,2022-07-11 15:15:00,135.95,136.0,135.3,135.3,1113023
25,2022-07-11 15:30:00,135.8,135.8,135.8,135.8,1113274
26,2022-07-12 09:15:00,134.45,136.25,134.35,136.0,71901
27,2022-07-12 09:30:00,136.3,136.75,136.0,136.6,196802
28,2022-07-12 09:45:00,136.6,137.1,136.3,136.9,249067
29,2022-07-12 10:00:00,136.9,138.4,136.9,137.3,468943
30,2022-07-12 10:15:00,137.3,137.3,136.8,137.1,567964
31,2022-07-12 10:30:00,137.1,137.45,136.9,137.15,592349
32,2022-07-12 10:45:00,137.15,137.55,137.0,137.55,624508
