,Date,o,h,l,c,v
0,2022-07-25 09:15:00,989.75,992.35,974.0,974.95,69495
1,2022-07-25 09:30:00,974.95,974.95,964.0,972.75,160975
2,2022-07-25 09:45:00,972.75,973.25,968.3,970.7,203347
3,2022-07-25 10:00:00,970.7,974.7,967.0,973.5,227101
4,2022-07-25 10:15:00,972.65,985.45,972.65,983.4,262947
5,2022-07-25 10:30:00,983.4,985.0,976.65,977.6,309046
6,2022-07-25 10:45:00,977.6,979.65,974.55,976.4,335493
7,2022-07-25 11:00:00,976.35,977.7,973.0,973.0,351350
8,2022-07-25 11:15:00,973.45,979.6,972.75,976.15,361922
9,2022-07-25 11:30:00,976.15,977.2,974.15,976.05,373650
10,2022-07-25 11:45:00,976.05,978.0,975.1,977.8,379928
11,2022-07-25 12:00:00,977.8,978.3,975.1,976.6,386089
12,2022-07-25 12:15:00,977.05,979.8,976.55,978.1,391751
13,2022-07-25 12:30:00,978.5,979.0,975.1,977.1,397250
14,2022-07-25 12:45:00,977.1,977.45,974.0,975.8,403007
15,2022-07-25 13:00:00,975.8,975.8,972.25,975.05,412009
16,2022-07-25 13:15:00,975.6,975.8,973.4,974.45,416797
17,2022-07-25 13:30:00,974.45,975.45,972.0,975.1,422723
18,2022-07-25 13:45:00,975.1,976.8,973.0,975.55,428022
19,2022-07-25 14:00:00,975.55,977.5,974.5,977.5,433767
20,2022-07-25 14:15:00,977.0,978.9,976.75,978.6,445318
21,2022-07-25 14:30:00,978.6,981.9,976.0,976.0,457788
22,2022-07-25 14:45:00,976.0,978.05,973.55,975.2,468555
23,2022-07-25 15:00:00,975.5,977.9,969.0,969.45,493349
24,2022-07-25 15:15:00,969.75,971.0,966.0,966.9,536947
25,2022-07-25 15:30:00,970.9,970.9,970.9,970.9,558713
