,Date,o,h,l,c,v
0,2022-07-25 09:15:00,1223.0,1226.85,1206.5,1207.35,75742
1,2022-07-25 09:30:00,1207.05,1213.5,1204.0,1209.5,140113
2,2022-07-25 09:45:00,1209.5,1209.5,1202.55,1204.5,174912
3,2022-07-25 10:00:00,1205.2,1205.85,1200.0,1201.05,205134
4,2022-07-25 10:15:00,1201.75,1203.2,1200.15,1202.0,229996
5,2022-07-25 10:30:00,1202.0,1202.75,1201.0,1201.35,243033
6,2022-07-25 10:45:00,1201.2,1201.55,1197.35,1199.5,261044
7,2022-07-25 11:00:00,1199.5,1199.9,1190.4,1192.5,293451
8,2022-07-25 11:15:00,1192.5,1196.5,1190.2,1196.5,326508
9,2022-07-25 11:30:00,1196.5,1206.35,1195.0,1204.95,369975
10,2022-07-25 11:45:00,1205.0,1205.75,1203.05,1203.25,395412
11,2022-07-25 12:00:00,1203.25,1205.0,1202.2,1204.75,402760
12,2022-07-25 12:15:00,1204.75,1209.95,1204.1,1208.85,422212
13,2022-07-25 12:30:00,1208.85,1211.85,1208.25,1211.65,450819
14,2022-07-25 12:45:00,1211.65,1216.9,1210.7,1216.0,496001
15,2022-07-25 13:00:00,1216.0,1220.9,1216.0,1219.3,556706
16,2022-07-25 13:15:00,1219.3,1219.8,1217.65,1219.0,580930
17,2022-07-25 13:30:00,1219.05,1222.0,1218.0,1220.7,604882
18,2022-07-25 13:45:00,1220.85,1224.0,1220.0,1222.0,643467
19,2022-07-25 14:00:00,1222.05,1225.45,1221.5,1224.3,675077
20,2022-07-25 14:15:00,1224.3,1226.45,1223.0,1225.1,734899
21,2022-07-25 14:30:00,1225.5,1230.7,1224.0,1226.75,773252
22,2022-07-25 14:45:00,1226.75,1228.6,1224.15,1226.0,799668
23,2022-07-25 15:00:00,1226.0,1228.85,1224.0,1226.15,850389
24,2022-07-25 15:15:00,1226.15,1227.7,1218.9,1221.0,950826
25,2022-07-25 15:30:00,1226.3,1226.3,1226.3,1226.3,1023849
