,Date,o,h,l,c,v
0,2022-07-25 09:15:00,920.05,927.15,914.7,925.6,168850
1,2022-07-25 09:30:00,925.1,925.45,921.4,922.5,319120
2,2022-07-25 09:45:00,922.5,922.75,917.6,919.0,408871
3,2022-07-25 10:00:00,918.95,921.35,917.9,921.1,486528
4,2022-07-25 10:15:00,920.85,923.0,919.7,921.05,573520
5,2022-07-25 10:30:00,921.05,921.9,919.6,920.0,637143
6,2022-07-25 10:45:00,920.25,922.0,919.1,919.45,670841
7,2022-07-25 11:00:00,919.55,920.65,915.05,916.8,735320
8,2022-07-25 11:15:00,916.3,920.1,916.3,919.45,804531
9,2022-07-25 11:30:00,919.45,921.5,919.15,921.25,837743
10,2022-07-25 11:45:00,921.2,924.6,921.2,923.85,906038
11,2022-07-25 12:00:00,923.85,924.5,922.05,923.2,992094
12,2022-07-25 12:15:00,923.2,925.45,923.0,925.0,1054145
13,2022-07-25 12:30:00,925.0,926.65,924.8,926.5,1123991
14,2022-07-25 12:45:00,926.5,928.0,925.0,927.5,1262215
15,2022-07-25 13:00:00,927.5,927.75,926.05,927.55,1394952
16,2022-07-25 13:15:00,927.55,928.65,927.0,927.05,1444962
17,2022-07-25 13:30:00,927.5,929.7,927.0,928.75,1503084
18,2022-07-25 13:45:00,928.9,930.35,928.25,929.95,1596910
19,2022-07-25 14:00:00,929.95,930.6,928.5,929.3,1661706
20,2022-07-25 14:15:00,929.3,930.45,929.1,929.5,1719937
21,2022-07-25 14:30:00,929.65,930.2,928.3,930.15,1787220
22,2022-07-25 14:45:00,930.2,930.6,929.95,930.15,1815809
23,2022-07-25 15:00:00,930.5,931.95,928.75,931.5,1903605
24,2022-07-25 15:15:00,931.45,932.0,928.3,929.95,2063498
25,2022-07-25 15:30:00,929.95,930.65,929.95,930.65,2120052
