,Date,o,h,l,c,v
0,2022-07-11 09:15:00,2235.8,2248.0,2230.65,2242.75,261015
1,2022-07-11 09:30:00,2242.75,2242.75,2233.0,2236.3,331644
2,2022-07-11 09:45:00,2236.3,2238.0,2230.6,2233.25,381118
3,2022-07-11 10:00:00,2233.4,2240.95,2233.25,2238.6,444640
4,2022-07-11 10:15:00,2238.6,2238.95,2232.6,2233.5,464822
5,2022-07-11 10:30:00,2233.5,2233.5,2228.25,2230.0,493915
6,2022-07-11 10:45:00,2230.0,2239.95,2229.7,2238.7,568260
7,2022-07-11 11:00:00,2238.8,2240.0,2236.4,2239.8,612501
8,2022-07-11 11:15:00,2239.8,2246.5,2239.55,2244.3,688310
9,2022-07-11 11:30:00,2244.1,2245.95,2242.55,2245.0,962441
10,2022-07-11 11:45:00,2244.95,2251.0,2244.0,2249.5,1042908
11,2022-07-11 12:00:00,2249.5,2253.35,2248.05,2249.3,1130504
12,2022-07-11 12:15:00,2249.55,2251.05,2248.1,2248.3,1206118
13,2022-07-11 12:30:00,2248.6,2252.2,2245.25,2250.5,1265301
14,2022-07-11 12:45:00,2250.5,2252.15,2248.5,2252.0,1322047
15,2022-07-11 13:00:00,2252.15,2255.0,2251.5,2252.75,1419156
16,2022-07-11 13:15:00,2252.75,2254.0,2247.8,2248.1,1493592
17,2022-07-11 13:30:00,2248.0,2253.0,2245.9,2252.7,1539362
18,2022-07-11 13:45:00,2252.7,2254.0,2250.1,2252.45,1566593
19,2022-07-11 14:00:00,2252.25,2257.0,2250.0,2253.75,1618439
20,2022-07-11 14:15:00,2253.75,2259.9,2252.8,2257.75,1668084
21,2022-07-11 14:30:00,2258.05,2260.0,2254.75,2258.3,1727081
22,2022-07-11 14:45:00,2258.1,2258.3,2252.3,2253.15,1792175
23,2022-07-11 15:00:00,2253.1,2255.6,2248.8,2249.7,1942584
24,2022-07-11 15:15:00,2249.7,2251.45,2242.9,2247.65,2115422
25,2022-07-11 15:30:00,2249.5,2249.5,2249.5,2249.5,2115439
26,2022-07-12 09:15:00,2234.7,2238.6,2224.0,2226.25,201858
27,2022-07-12 09:30:00,2226.25,2227.2,2219.15,2219.45,319231
28,2022-07-12 09:45:00,2219.5,2222.45,2218.0,2220.3,395758
29,2022-07-12 10:00:00,2220.3,2224.15,2219.0,2221.0,442210
30,2022-07-12 10:15:00,2220.45,2226.65,2218.65,2226.0,485149
31,2022-07-12 10:30:00,2226.15,2226.95,2223.0,2225.15,546013
32,2022-07-12 10:45:00,2225.15,2226.0,2224.9,2226.0,593262
