,Date,o,h,l,c,v
0,2022-07-25 09:15:00,1888.45,1906.2,1884.5,1886.2,22655
1,2022-07-25 09:30:00,1886.2,1895.35,1881.4,1886.3,54878
2,2022-07-25 09:45:00,1886.2,1889.3,1881.55,1889.0,70606
3,2022-07-25 10:00:00,1889.0,1889.7,1874.25,1876.1,93865
4,2022-07-25 10:15:00,1876.0,1879.15,1874.0,1874.0,126285
5,2022-07-25 10:30:00,1874.05,1879.0,1872.0,1877.0,140191
6,2022-07-25 10:45:00,1876.2,1878.55,1869.85,1869.85,150461
7,2022-07-25 11:00:00,1869.0,1872.6,1850.0,1854.05,182305
8,2022-07-25 11:15:00,1853.5,1859.9,1851.7,1856.3,231477
9,2022-07-25 11:30:00,1856.3,1859.6,1855.15,1855.5,253341
10,2022-07-25 11:45:00,1855.8,1860.0,1854.0,1857.1,277108
11,2022-07-25 12:00:00,1857.1,1860.0,1855.05,1856.35,291727
12,2022-07-25 12:15:00,1855.5,1859.0,1855.0,1855.55,301489
13,2022-07-25 12:30:00,1855.55,1856.0,1845.2,1848.55,317509
14,2022-07-25 12:45:00,1848.75,1848.75,1840.0,1842.8,336132
15,2022-07-25 13:00:00,1842.8,1854.0,1840.35,1853.25,358976
16,2022-07-25 13:15:00,1853.2,1857.75,1848.05,1849.45,390406
17,2022-07-25 13:30:00,1849.3,1856.35,1848.6,1856.35,410506
18,2022-07-25 13:45:00,1856.35,1860.4,1854.1,1854.45,432987
19,2022-07-25 14:00:00,1854.45,1857.7,1852.3,1853.35,452962
20,2022-07-25 14:15:00,1853.35,1861.0,1853.35,1860.0,472519
21,2022-07-25 14:30:00,1860.0,1863.4,1857.65,1858.3,497137
22,2022-07-25 14:45:00,1858.3,1861.5,1856.05,1857.35,524282
23,2022-07-25 15:00:00,1857.35,1859.9,1855.3,1858.9,562440
24,2022-07-25 15:15:00,1858.9,1867.85,1854.45,1855.0,609311
25,2022-07-25 15:30:00,1855.0,1860.35,1855.0,1860.35,650047
