,Date,o,h,l,c,v
0,2022-07-25 09:15:00,1395.05,1401.65,1391.0,1391.2,472764
1,2022-07-25 09:30:00,1391.1,1394.25,1389.1,1392.2,811921
2,2022-07-25 09:45:00,1392.6,1392.6,1383.3,1387.5,1021044
3,2022-07-25 10:00:00,1387.25,1391.7,1385.65,1391.3,1215056
4,2022-07-25 10:15:00,1391.4,1393.75,1388.3,1388.7,1390097
5,2022-07-25 10:30:00,1388.8,1392.5,1388.0,1390.65,1509804
6,2022-07-25 10:45:00,1390.4,1393.0,1389.35,1391.85,1609269
7,2022-07-25 11:00:00,1391.3,1391.65,1388.3,1388.3,1706346
8,2022-07-25 11:15:00,1388.75,1390.9,1388.3,1390.3,1799406
9,2022-07-25 11:30:00,1390.3,1390.5,1388.25,1388.65,1910008
10,2022-07-25 11:45:00,1388.6,1391.85,1388.0,1391.3,2066083
11,2022-07-25 12:00:00,1391.3,1391.55,1386.05,1387.7,2170240
12,2022-07-25 12:15:00,1387.55,1390.7,1387.55,1389.9,2289506
13,2022-07-25 12:30:00,1389.95,1391.0,1386.65,1388.25,2433500
14,2022-07-25 12:45:00,1388.25,1388.65,1386.05,1388.0,2565382
15,2022-07-25 13:00:00,1388.05,1391.0,1386.15,1390.55,2742037
16,2022-07-25 13:15:00,1390.65,1392.0,1387.95,1388.9,2916818
17,2022-07-25 13:30:00,1389.2,1389.2,1385.5,1386.6,3066909
18,2022-07-25 13:45:00,1386.95,1390.05,1386.45,1389.5,3212216
19,2022-07-25 14:00:00,1389.5,1395.7,1388.45,1395.4,3359794
20,2022-07-25 14:15:00,1395.5,1401.6,1394.05,1401.25,3593510
21,2022-07-25 14:30:00,1401.4,1404.5,1398.3,1401.0,4064619
22,2022-07-25 14:45:00,1401.0,1401.95,1399.15,1401.05,4342561
23,2022-07-25 15:00:00,1401.05,1401.05,1396.2,1396.9,4609379
24,2022-07-25 15:15:00,1396.9,1396.95,1392.35,1394.9,4928246
25,2022-07-25 15:30:00,1394.0,1396.6,1394.0,1396.6,5071288
