,Date,o,h,l,c,v
0,2022-07-11 09:15:00,543.0,549.05,542.95,547.9,182320
1,2022-07-11 09:30:00,547.95,549.1,546.5,547.6,278901
2,2022-07-11 09:45:00,547.6,547.75,545.45,546.0,323059
3,2022-07-11 10:00:00,546.25,547.0,545.5,546.95,412547
4,2022-07-11 10:15:00,546.9,548.8,546.6,547.85,459420
5,2022-07-11 10:30:00,547.85,548.35,546.75,547.45,478358
6,2022-07-11 10:45:00,547.35,547.45,545.55,546.25,500547
7,2022-07-11 11:00:00,546.25,546.35,544.95,545.75,535145
8,2022-07-11 11:15:00,545.75,546.3,545.05,545.25,568824
9,2022-07-11 11:30:00,545.6,545.8,543.25,543.25,666398
10,2022-07-11 11:45:00,543.0,543.5,542.4,542.8,756411
11,2022-07-11 12:00:00,542.8,543.0,542.6,542.8,780258
12,2022-07-11 12:15:00,542.8,542.8,541.4,541.65,937493
13,2022-07-11 12:30:00,541.85,543.45,541.6,542.35,986333
14,2022-07-11 12:45:00,542.4,543.8,542.15,543.7,1016207
15,2022-07-11 13:00:00,543.7,545.0,543.35,544.95,1065577
16,2022-07-11 13:15:00,545.0,545.2,544.45,544.9,1107835
17,2022-07-11 13:30:00,545.0,545.25,544.8,544.9,1157634
18,2022-07-11 13:45:00,544.9,545.5,543.75,544.8,1223959
19,2022-07-11 14:00:00,544.85,546.2,544.25,544.8,1305820
20,2022-07-11 14:15:00,544.7,548.55,544.7,548.15,1405736
21,2022-07-11 14:30:00,548.35,548.35,547.05,548.15,1473920
22,2022-07-11 14:45:00,548.05,548.3,547.0,547.65,1536214
23,2022-07-11 15:00:00,547.55,548.2,546.65,547.25,1658681
24,2022-07-11 15:15:00,547.25,547.5,545.45,546.2,1847134
25,2022-07-11 15:30:00,546.2,546.65,546.2,546.65,1848127
26,2022-07-12 09:15:00,545.55,546.15,541.45,543.1,123759
27,2022-07-12 09:30:00,543.65,544.35,542.25,542.9,277102
28,2022-07-12 09:45:00,542.75,544.05,542.55,542.8,340000
29,2022-07-12 10:00:00,542.75,543.0,541.6,542.0,423278
30,2022-07-12 10:15:00,541.95,542.1,541.7,542.0,490740
31,2022-07-12 10:30:00,541.95,542.15,541.75,541.9,550284
32,2022-07-12 10:45:00,541.9,542.0,541.75,542.0,590119
