,Date,o,h,l,c,v
0,2022-07-11 09:15:00,2831.55,2859.6,2831.55,2856.9,31435
1,2022-07-11 09:30:00,2856.9,2856.9,2842.45,2850.55,42530
2,2022-07-11 09:45:00,2850.55,2851.7,2841.25,2842.65,49679
3,2022-07-11 10:00:00,2842.55,2846.9,2840.05,2840.4,55864
4,2022-07-11 10:15:00,2839.05,2846.0,2833.25,2845.9,64685
5,2022-07-11 10:30:00,2845.65,2846.0,2840.0,2841.35,70715
6,2022-07-11 10:45:00,2841.35,2843.0,2831.1,2832.65,76344
7,2022-07-11 11:00:00,2832.65,2839.15,2829.0,2829.0,83612
8,2022-07-11 11:15:00,2829.0,2834.0,2825.05,2828.15,94409
9,2022-07-11 11:30:00,2828.15,2832.05,2826.0,2827.0,100114
10,2022-07-11 11:45:00,2826.65,2827.5,2825.05,2826.1,103983
11,2022-07-11 12:00:00,2826.8,2828.0,2818.0,2818.3,113613
12,2022-07-11 12:15:00,2818.35,2820.0,2808.2,2813.7,131206
13,2022-07-11 12:30:00,2813.7,2826.9,2811.95,2824.25,145588
14,2022-07-11 12:45:00,2824.3,2832.0,2822.0,2828.0,157547
15,2022-07-11 13:00:00,2828.0,2837.15,2823.65,2830.1,187667
16,2022-07-11 13:15:00,2831.0,2850.7,2830.0,2841.7,228619
17,2022-07-11 13:30:00,2841.85,2849.0,2837.6,2842.1,245065
18,2022-07-11 13:45:00,2843.0,2849.0,2839.05,2847.0,256392
19,2022-07-11 14:00:00,2847.0,2856.0,2846.5,2855.95,272579
20,2022-07-11 14:15:00,2855.95,2866.5,2854.45,2862.95,302452
21,2022-07-11 14:30:00,2864.15,2875.0,2858.15,2868.5,337172
22,2022-07-11 14:45:00,2869.1,2873.85,2865.0,2865.9,352708
23,2022-07-11 15:00:00,2866.3,2874.95,2864.0,2870.5,383648
24,2022-07-11 15:15:00,2870.5,2873.2,2856.0,2860.15,428909
25,2022-07-11 15:30:00,2868.1,2868.1,2868.1,2868.1,428940
26,2022-07-12 09:15:00,2852.1,2864.0,2834.2,2859.25,25840
27,2022-07-12 09:30:00,2859.4,2883.7,2854.9,2876.35,49938
28,2022-07-12 09:45:00,2876.35,2883.35,2860.05,2864.95,82855
29,2022-07-12 10:00:00,2864.95,2879.2,2862.75,2869.4,97717
30,2022-07-12 10:15:00,2869.4,2876.3,2865.8,2871.6,106296
31,2022-07-12 10:30:00,2871.6,2876.0,2865.0,2866.7,119810
32,2022-07-12 10:45:00,2866.7,2874.0,2865.0,2869.5,127458
