,Date,o,h,l,c,v
0,2022-07-25 09:15:00,64.4,64.45,63.05,63.15,2036204
1,2022-07-25 09:30:00,62.8,63.45,62.55,63.1,4074856
2,2022-07-25 09:45:00,63.15,63.8,63.0,63.5,4776439
3,2022-07-25 10:00:00,63.4,63.7,63.3,63.5,5357338
4,2022-07-25 10:15:00,63.6,63.85,63.45,63.65,5707594
5,2022-07-25 10:30:00,63.65,63.8,63.45,63.55,6097294
6,2022-07-25 10:45:00,63.5,63.65,63.4,63.5,6384297
7,2022-07-25 11:00:00,63.5,63.6,63.25,63.3,6560138
8,2022-07-25 11:15:00,63.3,63.6,63.25,63.6,6756173
9,2022-07-25 11:30:00,63.55,63.65,63.45,63.55,6895329
10,2022-07-25 11:45:00,63.5,63.75,63.5,63.7,7026532
11,2022-07-25 12:00:00,63.7,63.7,63.4,63.5,7174077
12,2022-07-25 12:15:00,63.5,63.65,63.45,63.45,7270914
13,2022-07-25 12:30:00,63.5,63.55,63.1,63.2,7636457
14,2022-07-25 12:45:00,63.2,63.4,63.2,63.2,7807319
15,2022-07-25 13:00:00,63.3,63.35,63.15,63.2,7917723
16,2022-07-25 13:15:00,63.3,63.3,63.1,63.25,8039248
17,2022-07-25 13:30:00,63.25,63.25,63.1,63.1,8150738
18,2022-07-25 13:45:00,63.1,63.25,63.1,63.15,8263096
19,2022-07-25 14:00:00,63.15,63.45,63.15,63.4,8428275
20,2022-07-25 14:15:00,63.35,63.8,63.25,63.55,8735177
21,2022-07-25 14:30:00,63.55,63.65,63.5,63.55,9137092
22,2022-07-25 14:45:00,63.5,63.55,63.25,63.3,9364085
23,2022-07-25 15:00:00,63.25,63.5,63.2,63.35,9821486
24,2022-07-25 15:15:00,63.35,63.4,62.9,63.0,10720125
25,2022-07-25 15:30:00,63.0,63.2,63.0,63.2,11172896
