,Date,o,h,l,c,v
0,2022-07-11 09:15:00,235.0,240.7,235.0,237.05,32938
1,2022-07-11 09:30:00,237.25,239.0,235.65,237.0,57924
2,2022-07-11 09:45:00,237.0,238.0,236.6,236.95,63254
3,2022-07-11 10:00:00,237.1,238.0,236.95,237.15,71901
4,2022-07-11 10:15:00,237.5,237.9,236.95,237.55,78182
5,2022-07-11 10:30:00,237.55,237.9,236.65,237.45,84240
6,2022-07-11 10:45:00,237.45,237.85,235.85,237.45,94278
7,2022-07-11 11:00:00,237.45,237.6,237.15,237.5,99821
8,2022-07-11 11:15:00,237.0,237.9,237.0,237.5,114179
9,2022-07-11 11:30:00,237.5,237.7,236.75,236.85,123037
10,2022-07-11 11:45:00,236.85,237.5,236.85,237.0,129451
11,2022-07-11 12:00:00,237.0,238.0,236.95,237.45,135630
12,2022-07-11 12:15:00,237.7,237.7,236.85,237.35,140470
13,2022-07-11 12:30:00,237.6,237.6,237.2,237.2,142801
14,2022-07-11 12:45:00,237.2,237.2,235.3,236.2,152219
15,2022-07-11 13:00:00,236.2,236.75,236.0,236.0,154731
16,2022-07-11 13:15:00,236.0,237.0,236.0,236.85,156788
17,2022-07-11 13:30:00,236.85,236.85,236.35,236.85,158440
18,2022-07-11 13:45:00,236.85,237.55,236.3,237.35,161801
19,2022-07-11 14:00:00,237.35,237.9,236.7,236.8,168689
20,2022-07-11 14:15:00,236.8,237.7,236.7,237.6,172655
21,2022-07-11 14:30:00,237.6,237.85,236.8,237.75,179827
22,2022-07-11 14:45:00,237.75,237.85,236.6,237.0,186670
23,2022-07-11 15:00:00,237.0,237.65,236.7,236.95,201144
24,2022-07-11 15:15:00,236.95,237.0,236.15,236.2,220578
25,2022-07-11 15:30:00,236.2,236.9,236.2,236.9,221502
26,2022-07-12 09:15:00,235.95,237.55,235.85,237.25,12917
27,2022-07-12 09:30:00,237.25,240.0,237.25,238.45,46704
28,2022-07-12 09:45:00,238.45,243.05,238.1,241.05,84574
29,2022-07-12 10:00:00,241.35,241.5,240.0,241.5,141820
30,2022-07-12 10:15:00,241.3,241.5,240.0,241.5,161962
31,2022-07-12 10:30:00,241.5,244.7,241.4,242.65,199750
32,2022-07-12 10:45:00,242.5,243.65,242.5,242.7,222949
