,Date,o,h,l,c,v
0,2022-07-11 09:15:00,88.6,90.9,88.35,89.2,521248
1,2022-07-11 09:30:00,89.2,90.3,89.15,90.05,735625
2,2022-07-11 09:45:00,90.05,90.2,89.9,89.9,827017
3,2022-07-11 10:00:00,89.9,90.55,89.85,90.35,915559
4,2022-07-11 10:15:00,90.35,90.6,90.0,90.35,1036022
5,2022-07-11 10:30:00,90.4,90.45,89.95,90.0,1097250
6,2022-07-11 10:45:00,90.0,90.15,89.75,89.9,1168253
7,2022-07-11 11:00:00,89.9,90.0,89.8,89.85,1231520
8,2022-07-11 11:15:00,89.85,89.85,89.65,89.65,1259196
9,2022-07-11 11:30:00,89.65,89.85,89.3,89.4,1387493
10,2022-07-11 11:45:00,89.4,89.65,89.3,89.65,1434363
11,2022-07-11 12:00:00,89.65,90.35,89.65,90.35,1530077
12,2022-07-11 12:15:00,90.35,90.35,90.15,90.15,1568499
13,2022-07-11 12:30:00,90.15,90.4,90.05,90.35,1651450
14,2022-07-11 12:45:00,90.35,90.55,90.25,90.45,1710318
15,2022-07-11 13:00:00,90.45,90.55,90.35,90.45,1749769
16,2022-07-11 13:15:00,90.45,91.65,90.45,91.65,2058972
17,2022-07-11 13:30:00,91.65,92.35,91.65,91.95,2367196
18,2022-07-11 13:45:00,91.95,92.0,91.1,91.1,2558733
19,2022-07-11 14:00:00,91.1,91.3,90.5,90.8,2783117
20,2022-07-11 14:15:00,90.8,90.95,90.55,90.75,2869167
21,2022-07-11 14:30:00,90.75,91.35,90.75,91.25,3087384
22,2022-07-11 14:45:00,91.25,91.65,91.05,91.3,3469229
23,2022-07-11 15:00:00,91.3,91.85,91.25,91.4,3763726
24,2022-07-11 15:15:00,91.4,91.55,91.0,91.35,4042028
25,2022-07-11 15:30:00,91.35,91.45,91.35,91.45,4046314
26,2022-07-12 09:15:00,89.85,90.5,89.45,90.1,430601
27,2022-07-12 09:30:00,90.2,90.6,90.0,90.45,725131
28,2022-07-12 09:45:00,90.45,90.75,90.1,90.7,938053
29,2022-07-12 10:00:00,90.7,90.8,90.5,90.55,1112739
30,2022-07-12 10:15:00,90.55,90.6,90.35,90.5,1205664
31,2022-07-12 10:30:00,90.55,90.75,90.45,90.45,1316638
32,2022-07-12 10:45:00,90.45,90.55,90.4,90.5,1363783
