,Date,o,h,l,c,v
0,2022-07-11 09:15:00,263.1,267.15,263.1,266.25,88994
1,2022-07-11 09:30:00,266.3,270.0,266.1,268.95,173481
2,2022-07-11 09:45:00,268.95,269.25,268.35,268.35,208855
3,2022-07-11 10:00:00,268.35,269.2,267.4,269.05,246344
4,2022-07-11 10:15:00,269.05,269.3,268.2,269.25,272885
5,2022-07-11 10:30:00,269.45,269.5,268.55,268.7,289234
6,2022-07-11 10:45:00,268.8,268.85,268.25,268.65,298176
7,2022-07-11 11:00:00,268.65,269.15,268.55,269.1,308846
8,2022-07-11 11:15:00,269.1,269.95,268.75,269.5,351562
9,2022-07-11 11:30:00,269.5,269.85,268.55,268.75,374134
10,2022-07-11 11:45:00,268.55,269.1,268.5,268.95,382877
11,2022-07-11 12:00:00,268.95,269.5,268.85,269.1,389167
12,2022-07-11 12:15:00,269.1,269.45,268.55,268.7,402528
13,2022-07-11 12:30:00,268.8,269.4,268.65,269.1,411364
14,2022-07-11 12:45:00,269.1,269.35,268.8,269.0,420626
15,2022-07-11 13:00:00,269.0,269.8,268.8,269.4,438952
16,2022-07-11 13:15:00,269.4,269.95,268.7,269.8,460646
17,2022-07-11 13:30:00,269.8,271.5,269.7,271.2,539394
18,2022-07-11 13:45:00,271.2,271.5,270.15,270.2,561918
19,2022-07-11 14:00:00,270.2,270.75,269.1,270.25,589456
20,2022-07-11 14:15:00,270.25,270.45,269.6,270.2,606928
21,2022-07-11 14:30:00,270.2,270.95,270.1,270.2,621719
22,2022-07-11 14:45:00,270.2,270.95,270.1,270.5,645784
23,2022-07-11 15:00:00,270.5,271.45,270.3,271.4,695233
24,2022-07-11 15:15:00,271.4,271.8,271.05,271.5,760183
25,2022-07-11 15:30:00,271.4,271.4,271.4,271.4,760735
26,2022-07-12 09:15:00,272.0,273.3,270.0,271.9,101824
27,2022-07-12 09:30:00,271.85,271.9,270.3,270.3,164712
28,2022-07-12 09:45:00,270.25,270.65,269.05,269.8,202694
29,2022-07-12 10:00:00,269.8,270.1,268.3,268.3,223154
30,2022-07-12 10:15:00,268.3,269.0,268.0,268.95,258535
31,2022-07-12 10:30:00,268.95,270.0,268.65,269.85,278524
32,2022-07-12 10:45:00,269.85,269.85,269.55,269.75,286519
