,Date,o,h,l,c,v
0,2022-07-25 09:15:00,3312.0,3312.0,3269.15,3275.1,278
1,2022-07-25 09:30:00,3275.0,3281.45,3260.0,3271.7,989
2,2022-07-25 09:45:00,3271.7,3280.25,3265.55,3276.95,1261
3,2022-07-25 10:00:00,3276.95,3278.0,3270.0,3275.0,1434
4,2022-07-25 10:15:00,3275.0,3275.0,3266.0,3269.95,1522
5,2022-07-25 10:30:00,3269.95,3270.0,3266.2,3270.0,1584
6,2022-07-25 10:45:00,3270.0,3271.9,3266.5,3268.05,1755
7,2022-07-25 11:00:00,3268.05,3270.8,3263.45,3263.45,1841
8,2022-07-25 11:15:00,3266.3,3271.0,3264.05,3269.95,2811
9,2022-07-25 11:30:00,3269.95,3270.0,3265.35,3266.05,3903
10,2022-07-25 11:45:00,3266.05,3270.0,3266.05,3266.05,4001
11,2022-07-25 12:00:00,3266.05,3270.0,3266.05,3266.05,4046
12,2022-07-25 12:15:00,3266.05,3270.0,3266.0,3269.0,4146
13,2022-07-25 12:30:00,3269.0,3270.0,3269.0,3270.0,4293
14,2022-07-25 12:45:00,3270.0,3270.0,3252.6,3252.6,4490
15,2022-07-25 13:00:00,3258.6,3263.8,3255.15,3260.7,4916
16,2022-07-25 13:15:00,3260.7,3265.0,3258.2,3258.2,4970
17,2022-07-25 13:30:00,3259.3,3267.9,3255.85,3267.9,5100
18,2022-07-25 13:45:00,3267.95,3270.0,3263.3,3268.6,5209
19,2022-07-25 14:00:00,3268.6,3269.0,3260.0,3260.0,5267
20,2022-07-25 14:15:00,3263.4,3268.0,3263.4,3268.0,5455
21,2022-07-25 14:30:00,3268.0,3268.4,3260.0,3264.8,5614
22,2022-07-25 14:45:00,3264.8,3269.45,3264.8,3269.0,5734
23,2022-07-25 15:00:00,3269.0,3269.0,3259.0,3267.95,5995
24,2022-07-25 15:15:00,3267.95,3269.0,3255.0,3268.9,6526
25,2022-07-25 15:30:00,3268.9,3268.9,3260.05,3260.05,7129
