,Date,o,h,l,c,v
0,2022-07-11 09:15:00,757.7,762.9,756.45,761.0,1376
1,2022-07-11 09:30:00,761.0,762.85,760.3,762.0,2535
2,2022-07-11 09:45:00,762.0,765.9,762.0,763.75,6688
3,2022-07-11 10:00:00,763.8,767.0,763.8,765.05,8424
4,2022-07-11 10:15:00,765.05,766.85,765.0,766.75,9166
5,2022-07-11 10:30:00,766.75,767.0,764.15,764.85,10142
6,2022-07-11 10:45:00,764.85,764.95,762.95,763.9,10493
7,2022-07-11 11:00:00,763.9,765.1,763.2,764.0,10932
8,2022-07-11 11:15:00,764.0,764.9,762.5,764.0,11430
9,2022-07-11 11:30:00,763.2,764.9,763.2,764.85,13174
10,2022-07-11 11:45:00,764.85,764.85,763.8,763.85,13503
11,2022-07-11 12:00:00,763.85,764.45,763.2,764.25,14854
12,2022-07-11 12:15:00,764.25,764.5,763.0,764.25,15284
13,2022-07-11 12:30:00,764.25,765.55,763.0,764.25,16435
14,2022-07-11 12:45:00,764.25,765.0,763.2,764.15,18566
15,2022-07-11 13:00:00,764.0,765.0,763.2,763.3,20408
16,2022-07-11 13:15:00,763.3,764.05,762.45,763.55,21667
17,2022-07-11 13:30:00,763.55,763.95,761.6,762.35,24479
18,2022-07-11 13:45:00,762.35,763.0,760.7,763.0,25326
19,2022-07-11 14:00:00,762.25,763.95,762.0,763.2,28289
20,2022-07-11 14:15:00,763.2,764.0,762.65,762.95,28974
21,2022-07-11 14:30:00,763.9,764.05,762.4,762.55,29869
22,2022-07-11 14:45:00,762.55,763.8,762.55,762.95,30114
23,2022-07-11 15:00:00,762.95,764.05,756.95,760.4,36864
24,2022-07-11 15:15:00,760.4,764.9,760.0,762.05,46947
25,2022-07-11 15:30:00,761.6,761.6,761.6,761.6,46947
26,2022-07-12 09:15:00,762.85,762.85,759.5,762.05,280
27,2022-07-12 09:30:00,762.05,762.1,754.7,756.35,1480
28,2022-07-12 09:45:00,756.35,756.5,755.0,755.55,3028
29,2022-07-12 10:00:00,755.55,756.45,755.1,756.4,3247
30,2022-07-12 10:15:00,756.4,758.95,753.55,758.95,4920
31,2022-07-12 10:30:00,758.95,758.95,757.0,758.0,5707
32,2022-07-12 10:45:00,758.0,758.0,758.0,758.0,5755
