,Date,o,h,l,c,v
0,2022-07-11 09:15:00,61.8,63.05,61.7,62.5,849900
1,2022-07-11 09:30:00,62.5,62.85,62.4,62.8,1115616
2,2022-07-11 09:45:00,62.8,63.0,62.55,62.7,1244038
3,2022-07-11 10:00:00,62.7,62.85,62.6,62.8,1328205
4,2022-07-11 10:15:00,62.8,63.0,62.65,62.9,1395837
5,2022-07-11 10:30:00,62.85,62.95,62.6,62.75,1476125
6,2022-07-11 10:45:00,62.65,62.9,62.65,62.7,1533509
7,2022-07-11 11:00:00,62.7,62.8,62.6,62.75,1582273
8,2022-07-11 11:15:00,62.75,62.75,62.55,62.55,1631802
9,2022-07-11 11:30:00,62.55,62.75,62.4,62.5,1722930
10,2022-07-11 11:45:00,62.5,62.8,62.4,62.8,1779573
11,2022-07-11 12:00:00,62.75,63.35,62.75,63.1,2118440
12,2022-07-11 12:15:00,63.05,63.2,62.9,62.95,2247043
13,2022-07-11 12:30:00,62.95,63.1,62.8,63.05,2303304
14,2022-07-11 12:45:00,63.0,63.15,62.9,63.05,2354907
15,2022-07-11 13:00:00,63.1,63.25,62.95,63.2,2459195
16,2022-07-11 13:15:00,63.2,63.35,63.05,63.05,2592083
17,2022-07-11 13:30:00,63.05,63.75,63.05,63.7,2887582
18,2022-07-11 13:45:00,63.75,64.25,63.65,63.75,3368445
19,2022-07-11 14:00:00,63.8,64.8,63.75,64.6,4072460
20,2022-07-11 14:15:00,64.7,64.9,64.35,64.55,4572262
21,2022-07-11 14:30:00,64.55,64.65,64.25,64.5,4772092
22,2022-07-11 14:45:00,64.5,64.75,64.45,64.55,4953221
23,2022-07-11 15:00:00,64.55,65.3,64.55,64.95,5837695
24,2022-07-11 15:15:00,64.9,65.05,64.7,64.85,6427574
25,2022-07-11 15:30:00,65.0,65.0,65.0,65.0,6428564
26,2022-07-12 09:15:00,64.0,64.5,63.8,64.35,443374
27,2022-07-12 09:30:00,64.25,64.5,64.15,64.4,756711
28,2022-07-12 09:45:00,64.35,64.5,64.1,64.35,938139
29,2022-07-12 10:00:00,64.35,64.4,63.85,63.85,1230988
30,2022-07-12 10:15:00,63.9,64.05,63.8,64.05,1555024
31,2022-07-12 10:30:00,64.05,64.1,63.9,63.9,1660715
32,2022-07-12 10:45:00,63.9,64.05,63.9,64.05,1725398
