,Date,o,h,l,c,v
0,2022-07-25 09:15:00,99.6,99.9,98.4,98.55,875304
1,2022-07-25 09:30:00,98.35,99.25,98.25,99.0,1787663
2,2022-07-25 09:45:00,98.95,99.0,98.55,98.6,2179930
3,2022-07-25 10:00:00,98.6,98.8,98.5,98.65,2369729
4,2022-07-25 10:15:00,98.7,100.4,98.55,99.85,2767125
5,2022-07-25 10:30:00,99.7,100.3,99.7,100.0,3648127
6,2022-07-25 10:45:00,100.0,100.85,100.0,100.7,4061624
7,2022-07-25 11:00:00,100.75,100.75,100.35,100.4,4523608
8,2022-07-25 11:15:00,100.4,101.25,100.4,101.05,4975872
9,2022-07-25 11:30:00,101.0,101.35,100.8,101.2,5490608
10,2022-07-25 11:45:00,101.15,101.5,101.0,101.1,5844655
11,2022-07-25 12:00:00,101.1,101.15,100.55,100.55,6098477
12,2022-07-25 12:15:00,100.55,100.75,100.55,100.7,6352631
13,2022-07-25 12:30:00,100.7,100.95,100.6,100.8,6511996
14,2022-07-25 12:45:00,100.8,101.2,100.7,100.95,6667928
15,2022-07-25 13:00:00,100.95,101.0,100.6,100.95,6837865
16,2022-07-25 13:15:00,100.95,101.0,100.7,100.75,6929552
17,2022-07-25 13:30:00,100.8,100.9,100.6,100.85,7026997
18,2022-07-25 13:45:00,100.85,100.95,100.75,100.8,7113104
19,2022-07-25 14:00:00,100.8,101.15,100.75,101.05,7219860
20,2022-07-25 14:15:00,101.15,101.25,101.05,101.15,7351775
21,2022-07-25 14:30:00,101.2,101.45,101.15,101.3,7555382
22,2022-07-25 14:45:00,101.3,101.35,100.8,100.9,7814224
23,2022-07-25 15:00:00,100.9,101.2,100.8,101.0,8187448
24,2022-07-25 15:15:00,100.95,101.35,100.85,101.25,8981607
25,2022-07-25 15:30:00,101.2,101.2,101.1,101.1,9296297
