,Date,o,h,l,c,v
0,2022-07-25 09:15:00,802.5,817.7,802.5,814.7,4166079
1,2022-07-25 09:30:00,814.65,814.65,806.15,806.15,6745361
2,2022-07-25 09:45:00,806.15,806.15,800.55,803.95,8183405
3,2022-07-25 10:00:00,804.0,806.45,801.5,805.95,9031303
4,2022-07-25 10:15:00,805.85,805.95,802.15,802.15,9713560
5,2022-07-25 10:30:00,802.1,804.0,801.65,802.4,10292077
6,2022-07-25 10:45:00,802.4,803.65,800.5,803.15,10746007
7,2022-07-25 11:00:00,803.15,803.25,798.45,798.5,11285042
8,2022-07-25 11:15:00,798.5,800.0,797.15,799.0,12020307
9,2022-07-25 11:30:00,799.35,801.05,798.15,799.85,12411477
10,2022-07-25 11:45:00,799.8,801.55,799.5,800.45,12873369
11,2022-07-25 12:00:00,800.4,800.6,799.05,799.95,13237460
12,2022-07-25 12:15:00,799.95,800.75,799.7,799.8,13534200
13,2022-07-25 12:30:00,800.0,801.3,799.4,800.3,13872379
14,2022-07-25 12:45:00,800.3,801.25,799.95,801.1,14132671
15,2022-07-25 13:00:00,801.2,803.2,800.35,802.9,14427087
16,2022-07-25 13:15:00,802.85,804.0,801.25,801.7,14954569
17,2022-07-25 13:30:00,801.7,801.95,800.3,801.65,15264911
18,2022-07-25 13:45:00,801.65,802.25,801.0,802.0,15523195
19,2022-07-25 14:00:00,802.0,804.5,801.0,804.3,15951416
20,2022-07-25 14:15:00,804.15,806.55,803.2,805.7,16581645
21,2022-07-25 14:30:00,805.85,806.4,803.45,804.5,17195946
22,2022-07-25 14:45:00,804.5,806.1,803.55,805.45,17722492
23,2022-07-25 15:00:00,805.4,805.4,799.95,800.0,18707304
24,2022-07-25 15:15:00,800.2,801.4,799.1,800.0,20346449
25,2022-07-25 15:30:00,800.9,800.9,800.9,800.9,21031054
