,Date,o,h,l,c,v
0,2022-07-25 09:15:00,36.5,36.55,36.2,36.2,238272
1,2022-07-25 09:30:00,36.25,36.25,35.9,36.0,582297
2,2022-07-25 09:45:00,36.0,36.05,35.75,35.75,818671
3,2022-07-25 10:00:00,35.8,35.9,35.75,35.85,957833
4,2022-07-25 10:15:00,35.85,35.95,35.75,35.95,1071535
5,2022-07-25 10:30:00,35.95,36.0,35.85,36.0,1211105
6,2022-07-25 10:45:00,36.0,36.0,35.85,35.95,1331205
7,2022-07-25 11:00:00,35.95,35.95,35.7,35.75,1494546
8,2022-07-25 11:15:00,35.8,35.9,35.7,35.9,1597933
9,2022-07-25 11:30:00,35.9,35.9,35.85,35.9,1672383
10,2022-07-25 11:45:00,35.9,35.9,35.8,35.85,1710895
11,2022-07-25 12:00:00,35.85,35.85,35.55,35.65,1818789
12,2022-07-25 12:15:00,35.65,35.75,35.55,35.6,1978577
13,2022-07-25 12:30:00,35.55,35.75,35.55,35.65,2048923
14,2022-07-25 12:45:00,35.65,35.7,35.1,35.25,2447300
15,2022-07-25 13:00:00,35.15,35.35,34.95,35.2,3413775
16,2022-07-25 13:15:00,35.15,35.25,35.05,35.15,3730887
17,2022-07-25 13:30:00,35.15,35.15,34.9,35.1,3915968
18,2022-07-25 13:45:00,35.1,35.15,34.95,35.1,4108305
19,2022-07-25 14:00:00,35.1,35.3,34.95,35.15,4713942
20,2022-07-25 14:15:00,35.2,35.25,35.15,35.2,5070222
21,2022-07-25 14:30:00,35.2,35.35,35.1,35.25,5232570
22,2022-07-25 14:45:00,35.2,35.3,35.15,35.2,5563537
23,2022-07-25 15:00:00,35.2,35.3,35.1,35.2,5789344
24,2022-07-25 15:15:00,35.2,35.3,35.1,35.2,6300341
25,2022-07-25 15:30:00,35.2,35.2,35.2,35.2,6629596
