,Date,o,h,l,c,v
0,2022-07-11 09:15:00,33.45,34.1,33.4,33.9,1810844
1,2022-07-11 09:30:00,33.9,34.05,33.8,34.05,2548923
2,2022-07-11 09:45:00,34.05,34.15,34.0,34.1,3362910
3,2022-07-11 10:00:00,34.1,34.15,34.0,34.1,3827637
4,2022-07-11 10:15:00,34.1,34.15,34.0,34.1,4228755
5,2022-07-11 10:30:00,34.1,34.1,33.95,34.05,4663959
6,2022-07-11 10:45:00,34.05,34.15,33.95,33.95,5073988
7,2022-07-11 11:00:00,34.0,34.0,33.85,33.95,5429286
8,2022-07-11 11:15:00,33.95,33.95,33.75,33.75,6012665
9,2022-07-11 11:30:00,33.85,34.15,33.75,33.9,7504420
10,2022-07-11 11:45:00,33.9,33.95,33.85,33.85,7679134
11,2022-07-11 12:00:00,33.9,34.1,33.85,34.05,8028237
12,2022-07-11 12:15:00,34.05,34.05,33.95,34.0,8208322
13,2022-07-11 12:30:00,34.0,34.1,33.95,34.0,8495317
14,2022-07-11 12:45:00,34.0,34.15,34.0,34.15,8703355
15,2022-07-11 13:00:00,34.1,34.2,34.05,34.2,9091395
16,2022-07-11 13:15:00,34.2,34.3,34.1,34.15,9687970
17,2022-07-11 13:30:00,34.15,34.2,34.1,34.2,9929274
18,2022-07-11 13:45:00,34.2,34.2,34.1,34.15,10182564
19,2022-07-11 14:00:00,34.15,34.25,34.1,34.2,10607134
20,2022-07-11 14:15:00,34.15,34.3,34.15,34.3,10995536
21,2022-07-11 14:30:00,34.3,34.4,34.2,34.3,11813733
22,2022-07-11 14:45:00,34.3,34.4,34.2,34.3,12749492
23,2022-07-11 15:00:00,34.35,34.4,34.25,34.35,13721891
24,2022-07-11 15:15:00,34.3,34.35,34.25,34.3,15028917
25,2022-07-11 15:30:00,34.3,34.35,34.3,34.35,15030276
26,2022-07-12 09:15:00,34.1,34.15,33.95,34.05,1004522
27,2022-07-12 09:30:00,34.05,34.1,34.0,34.05,1839225
28,2022-07-12 09:45:00,34.05,34.15,34.0,34.15,2148065
29,2022-07-12 10:00:00,34.15,34.15,34.1,34.15,2506597
30,2022-07-12 10:15:00,34.1,34.3,34.05,34.3,2850856
31,2022-07-12 10:30:00,34.25,34.3,34.15,34.2,3281378
32,2022-07-12 10:45:00,34.2,34.25,34.15,34.2,3528352
