,Date,o,h,l,c,v
0,2022-07-25 09:15:00,939.95,939.95,930.35,937.0,218
1,2022-07-25 09:30:00,937.0,937.0,931.95,933.8,906
2,2022-07-25 09:45:00,933.8,935.0,930.35,934.15,1945
3,2022-07-25 10:00:00,934.15,936.4,934.15,935.15,2097
4,2022-07-25 10:15:00,935.15,937.0,935.0,935.0,2133
5,2022-07-25 10:30:00,935.05,935.05,931.5,934.85,2284
6,2022-07-25 10:45:00,934.85,935.0,933.55,935.0,2357
7,2022-07-25 11:00:00,932.45,932.45,927.15,928.0,2597
8,2022-07-25 11:15:00,928.0,929.55,926.35,928.0,2947
9,2022-07-25 11:30:00,927.0,928.0,925.0,928.0,3309
10,2022-07-25 11:45:00,928.0,928.0,925.05,927.55,3672
11,2022-07-25 12:00:00,927.1,935.5,925.6,933.15,6219
12,2022-07-25 12:15:00,933.15,933.15,931.05,931.05,6565
13,2022-07-25 12:30:00,931.05,931.95,927.0,931.75,6613
14,2022-07-25 12:45:00,931.75,931.75,928.05,930.1,6689
15,2022-07-25 13:00:00,930.1,932.35,930.1,932.35,6712
16,2022-07-25 13:15:00,932.35,932.45,929.15,931.3,6735
17,2022-07-25 13:30:00,931.3,931.85,931.3,931.85,6759
18,2022-07-25 13:45:00,931.85,931.85,930.55,930.55,6761
19,2022-07-25 14:00:00,930.55,931.9,930.55,931.85,6771
20,2022-07-25 14:15:00,931.85,933.5,930.7,933.5,6780
21,2022-07-25 14:30:00,933.5,935.5,933.05,933.95,6902
22,2022-07-25 14:45:00,933.95,934.7,930.15,931.6,7369
23,2022-07-25 15:00:00,931.6,933.95,930.0,930.0,7583
24,2022-07-25 15:15:00,930.0,932.5,921.0,925.9,8312
25,2022-07-25 15:30:00,925.5,925.5,925.5,925.5,9576
