,Date,o,h,l,c,v
0,2022-07-12 11:15:00,343.85,344.3,343.55,343.8,75619
1,2022-07-12 11:30:00,343.8,344.7,343.5,344.35,87086
2,2022-07-12 11:45:00,344.35,346.05,344.35,346.05,105762
3,2022-07-12 12:00:00,346.05,346.5,344.55,344.55,116599
4,2022-07-12 12:15:00,344.55,344.55,343.6,343.9,118351
5,2022-07-12 12:30:00,343.9,344.5,343.5,344.3,120173
6,2022-07-12 12:45:00,344.3,344.3,343.1,343.1,122377
7,2022-07-12 13:00:00,343.1,343.35,342.55,343.35,126033
8,2022-07-12 13:15:00,343.35,343.7,342.75,343.0,127934
9,2022-07-12 13:30:00,343.0,343.3,343.0,343.3,128469
10,2022-07-12 13:45:00,343.3,343.7,342.55,342.7,134137
11,2022-07-12 14:00:00,342.7,343.6,341.55,343.3,141692
12,2022-07-12 14:15:00,343.3,346.15,342.3,345.0,153340
13,2022-07-12 14:30:00,345.0,346.9,343.15,343.6,190665
14,2022-07-12 14:45:00,343.6,344.55,341.25,344.45,206357
15,2022-07-12 15:00:00,344.45,345.0,341.4,341.4,216309
16,2022-07-12 15:15:00,340.9,343.45,339.0,341.25,248817
17,2022-07-12 15:30:00,341.25,341.25,340.9,340.9,248817
18,2022-07-13 09:15:00,341.4,344.0,341.4,343.4,6070
19,2022-07-13 09:30:00,343.35,343.7,342.95,342.95,11596
20,2022-07-13 09:45:00,342.95,342.95,342.0,342.0,13844
21,2022-07-13 10:00:00,342.25,342.75,341.4,341.55,15250
22,2022-07-13 10:15:00,341.55,342.0,338.0,338.0,21815
23,2022-07-13 10:30:00,338.0,338.5,338.0,338.5,32984
24,2022-07-13 10:45:00,338.5,339.9,338.0,339.7,37903
25,2022-07-13 11:00:00,339.7,339.8,338.65,339.0,46527
