,Date,o,h,l,c,v
0,2022-07-25 09:15:00,178.35,178.8,177.5,177.65,67091
1,2022-07-25 09:30:00,177.5,178.5,176.95,178.25,173817
2,2022-07-25 09:45:00,178.2,178.4,177.35,177.6,240210
3,2022-07-25 10:00:00,177.5,177.75,176.65,177.4,305473
4,2022-07-25 10:15:00,177.4,177.5,177.0,177.0,344766
5,2022-07-25 10:30:00,177.0,177.25,176.8,176.95,371798
6,2022-07-25 10:45:00,176.95,177.25,176.6,176.95,406511
7,2022-07-25 11:00:00,176.95,177.0,175.25,175.95,440460
8,2022-07-25 11:15:00,175.95,176.0,174.65,175.05,500205
9,2022-07-25 11:30:00,175.05,175.5,174.5,174.55,541783
10,2022-07-25 11:45:00,174.55,174.85,174.35,174.35,594186
11,2022-07-25 12:00:00,174.35,174.55,174.2,174.3,632818
12,2022-07-25 12:15:00,174.3,174.55,173.55,173.75,664181
13,2022-07-25 12:30:00,173.75,174.0,173.45,173.75,694190
14,2022-07-25 12:45:00,173.75,175.3,173.25,175.2,759283
15,2022-07-25 13:00:00,175.3,175.45,174.8,175.3,944654
16,2022-07-25 13:15:00,175.4,176.2,175.05,175.6,1025771
17,2022-07-25 13:30:00,175.6,175.7,174.9,174.9,1049058
18,2022-07-25 13:45:00,174.9,175.25,174.6,174.6,1062675
19,2022-07-25 14:00:00,174.6,175.9,174.5,175.9,1082972
20,2022-07-25 14:15:00,175.9,176.15,175.45,176.0,1113791
21,2022-07-25 14:30:00,176.0,176.0,175.5,175.55,1150176
22,2022-07-25 14:45:00,175.55,175.65,175.4,175.4,1188550
23,2022-07-25 15:00:00,175.5,176.15,175.25,176.05,1224476
24,2022-07-25 15:15:00,176.05,176.15,175.3,176.0,1297050
25,2022-07-25 15:30:00,176.0,176.0,175.85,175.85,1338506
