,Date,o,h,l,c,v
0,2022-07-11 09:15:00,379.55,379.55,375.95,377.0,1574
1,2022-07-11 09:30:00,377.0,381.45,377.0,380.55,2941
2,2022-07-11 09:45:00,380.55,381.8,380.0,380.25,3398
3,2022-07-11 10:00:00,380.25,381.15,380.0,380.35,3882
4,2022-07-11 10:15:00,380.35,380.9,379.95,379.95,4332
5,2022-07-11 10:30:00,379.95,379.95,378.75,379.2,4551
6,2022-07-11 10:45:00,379.2,380.0,378.35,378.9,5361
7,2022-07-11 11:00:00,378.9,379.7,378.6,379.55,6331
8,2022-07-11 11:15:00,379.55,379.7,378.15,378.15,6864
9,2022-07-11 11:30:00,378.15,378.8,378.1,378.3,7216
10,2022-07-11 11:45:00,378.3,380.3,378.3,379.95,17302
11,2022-07-11 12:00:00,379.95,381.0,379.6,379.9,17941
12,2022-07-11 12:15:00,379.9,381.45,379.0,379.0,18742
13,2022-07-11 12:30:00,379.0,381.3,378.8,380.35,20171
14,2022-07-11 12:45:00,380.35,381.3,379.25,379.75,20697
15,2022-07-11 13:00:00,379.75,381.85,379.65,380.5,21638
16,2022-07-11 13:15:00,381.25,381.95,380.95,381.3,22205
17,2022-07-11 13:30:00,381.3,387.1,381.25,386.85,29381
18,2022-07-11 13:45:00,386.85,386.85,384.0,384.3,32529
19,2022-07-11 14:00:00,384.3,384.55,383.75,383.75,33721
20,2022-07-11 14:15:00,383.75,386.0,383.75,385.0,35393
21,2022-07-11 14:30:00,385.0,385.0,384.45,384.55,37880
22,2022-07-11 14:45:00,385.0,385.0,382.85,384.25,39430
23,2022-07-11 15:00:00,384.25,384.6,383.05,383.1,40455
24,2022-07-11 15:15:00,383.1,385.0,379.0,380.0,45624
25,2022-07-11 15:30:00,382.45,382.45,382.45,382.45,45624
26,2022-07-12 09:15:00,382.0,382.55,379.15,381.5,1054
27,2022-07-12 09:30:00,381.45,382.5,380.75,381.7,5117
28,2022-07-12 09:45:00,381.7,382.35,381.0,381.65,6229
29,2022-07-12 10:00:00,381.65,381.85,381.15,381.15,6659
30,2022-07-12 10:15:00,381.5,381.9,381.5,381.5,6999
31,2022-07-12 10:30:00,381.5,382.85,381.5,381.6,8109
32,2022-07-12 10:45:00,382.5,383.05,381.55,381.55,9318
