,Date,o,h,l,c,v
0,2022-07-11 09:15:00,846.65,855.9,844.55,853.35,169406
1,2022-07-11 09:30:00,853.35,854.55,849.45,854.55,282587
2,2022-07-11 09:45:00,854.55,857.5,853.25,854.3,367578
3,2022-07-11 10:00:00,854.3,859.4,853.0,857.4,501580
4,2022-07-11 10:15:00,857.4,857.8,854.5,856.6,548205
5,2022-07-11 10:30:00,856.5,856.8,854.0,855.5,576971
6,2022-07-11 10:45:00,855.5,859.3,854.85,857.6,635800
7,2022-07-11 11:00:00,857.6,858.05,856.0,856.4,663720
8,2022-07-11 11:15:00,856.25,857.0,852.1,852.75,723091
9,2022-07-11 11:30:00,852.7,854.45,850.7,852.0,779611
10,2022-07-11 11:45:00,852.2,852.85,850.95,851.0,800785
11,2022-07-11 12:00:00,850.95,853.5,850.9,852.6,827266
12,2022-07-11 12:15:00,852.6,852.9,850.8,850.85,853526
13,2022-07-11 12:30:00,850.85,855.0,850.1,853.85,912450
14,2022-07-11 12:45:00,853.65,858.7,853.45,856.2,975455
15,2022-07-11 13:00:00,856.2,856.95,856.0,856.2,997052
16,2022-07-11 13:15:00,856.2,857.65,855.6,855.95,1039860
17,2022-07-11 13:30:00,856.0,857.9,855.75,856.95,1077188
18,2022-07-11 13:45:00,856.95,857.0,854.2,854.2,1111626
19,2022-07-11 14:00:00,854.2,858.45,854.2,857.1,1182747
20,2022-07-11 14:15:00,857.15,860.0,857.15,859.45,1259411
21,2022-07-11 14:30:00,859.45,859.8,856.6,858.1,1323527
22,2022-07-11 14:45:00,858.05,859.75,856.5,857.5,1350616
23,2022-07-11 15:00:00,857.75,859.9,856.65,858.15,1407292
24,2022-07-11 15:15:00,858.0,859.55,857.05,859.0,1503172
25,2022-07-11 15:30:00,858.35,858.35,858.35,858.35,1503453
26,2022-07-12 09:15:00,852.0,857.8,850.0,854.0,101488
27,2022-07-12 09:30:00,854.0,856.5,853.35,855.05,172661
28,2022-07-12 09:45:00,855.05,856.95,854.55,856.0,206328
29,2022-07-12 10:00:00,855.95,856.7,855.0,856.0,233932
30,2022-07-12 10:15:00,855.85,858.25,855.6,857.85,262673
31,2022-07-12 10:30:00,857.95,858.15,856.5,856.55,298701
32,2022-07-12 10:45:00,856.55,857.6,855.55,857.0,326842
